TIME	20170506_W05	20170506_W06 	20170506_W07	20170506_W08	20170512_W06	20170512_W08	20170512_W09	20170526_W04	20170526_W05	20170526_W06	20170530_W06	20170530_W07	20170530_W08	20170603_W07	20170603_W08	20170603_W09	20170603_W10	20170603_W12
51	3648.065	3474.701	1846.959	3356.733	2821.985	4469.046	4626.653	3068.192	5198.373	3177.65	2632.88	3773.318	3311.95	10565.062	8962.056	11427.664	7632.223	6274.14
52	3599.216	3408.894	1909.627	3196.263	2853.871	4505.772	4539.542	3150.617	5238.131	3175.337	2668.523	3988.954	3326.651	10437.663	8942.134	11496.036	7851.005	6274.708
53	3539.673	3354.313	1992.145	3103.213	2879.435	4569.381	4482.623	3228.866	5380.238	3156.73	2703.055	4158.567	3331.669	10358.909	8912.47	11390.372	7986.414	6291.411
54	3549.111	3371.009	2057.005	3043.945	2898.067	4617.082	4454.758	3280.201	5569.922	3136.213	2730.768	4238.796	3322.268	10174.531	8744.207	11139.805	8038.389	6315.029
55	3601.051	3431.488	2079.392	3062.404	2884.679	4670.259	4474.784	3306.501	5809.858	3124.078	2660.956	4240.92	3274.051	9842.11	8581.024	10874.65	8070.888	6261.42
56	3701.531	3551.496	2106.786	3203.589	2857.924	4733.22	4548.769	3318.406	6066.24	3118.278	2623.657	4167.492	3222.914	9528.62	8513.141	10704.914	8140.872	6221.399
57	3791.062	3623.104	2137.739	3348.803	2856.203	4751.439	4602.48	3300.169	6247.539	3129.586	2647.253	4060.803	3165.936	9351.446	8493.478	10414.688	8074.98	6214.856
58	3858.444	3749.079	2095.451	3524.999	2814.826	4794.126	4734.938	3299.715	6404.383	3205.913	2575.396	3913.036	3102.237	9040.841	8464.18	10225.334	8094.05	6244.883
59	3919.033	3853.112	2069.376	3657.628	2791.201	4866.194	4883.238	3284.392	6534.446	3249.244	2534.753	3760.151	3038.332	8890.722	8606.56	10215.287	8163.634	6364.469
60	3937.746	3959.022	2054.327	3748.269	2761.443	4910.469	4964.685	3272.32	6606.436	3315.921	2531.738	3626.198	2978.847	8996.012	8855.097	10232.103	8197.583	6509.191
61	3960.687	3960.267	2004.019	3791.609	2753.166	4961.842	5080.161	3267.229	6600.224	3386.706	2512.675	3524.133	2931.388	9036.579	9254.354	10377.604	8417.829	6737.36
62	3907.864	3928.222	2014.021	3692.011	2752.34	4977.739	5163.216	3286.688	6573.114	3464.351	2516.215	3484.579	2915.227	9353.076	9642.398	10594.667	8601.216	6965.471
63	3900.263	3904.868	2008.674	3634.417	2772.237	4956.214	5209.128	3322.516	6545.079	3529.875	2576.971	3503.569	2903.135	9851.74	10136.764	10925.98	8743.193	7128.854
64	3833.969	3861.273	2024.313	3481.711	2805.667	4956.556	5240.814	3389.895	6500.047	3581.712	2619.612	3611.95	2885.036	10287.217	10235.238	11238.601	8960.844	7319.883
65	3715.512	3767.874	2083.432	3343.543	2841.571	4962.025	5236.757	3478.163	6519.73	3604.473	2691.892	3794.18	2898.947	10834.376	10470.686	11446.533	9098.915	7396.504
66	3626.507	3676.141	2112.71	3180.232	2883.347	5002.601	5285.293	3548.488	6565.865	3621.255	2785.81	4000.386	2906.376	11122.839	10455.143	11725.566	9294.333	7376.263
67	3687.627	3721.707	2229.698	3103.967	2940.499	5003.24	5266.824	3648.162	6709.797	3642.851	2878.534	4200.662	2891.353	11508.297	10486.236	11642.394	9279.163	7381.611
68	3672.057	3700.539	2267.528	3001.887	2977.616	5062.774	5236.286	3707.306	6997.631	3665.095	2980.662	4340.525	2844.645	11509.084	10389.772	11751.418	9452.009	7361.1
69	3679.975	3634.238	2304.347	2941.731	3012.52	5130.259	5196.258	3767.299	7206.874	3659.278	2972.456	4433.819	2810.099	11423.058	10239.261	11584.379	9481.741	7229.584
70	3766.542	3636.81	2342.885	2968.648	3035.715	5201.769	5165.078	3793.477	7442.379	3671.641	2940.033	4439.985	2766.338	11363.188	10054.535	11298.959	9463.724	7217.174
71	3732.626	3594.35	2294.277	3033.593	3049.653	5275.858	5156.286	3801.25	7563.24	3694.396	2944.293	4399.126	2715.11	11050.136	9987.084	11113.167	9435.39	7091.348
72	3773.745	3642.562	2260.746	3138.626	3018.191	5317.092	5107.485	3819.821	7602.047	3736.87	2860.516	4311.856	2653.44	10864.32	9792.831	10773.048	9406.038	7010.308
73	3761.048	3629.723	2217.279	3184.949	2996.892	5332.622	5103.538	3805.049	7554.032	3790.461	2820.465	4139.913	2567.018	10530.804	9746.388	10509.094	9453.832	6963.767
74	3682.973	3631.16	2152.979	3315.049	2991.586	5320.723	5125.718	3782.387	7468.087	3868.545	2743.041	3999.55	2509.287	10196.385	9651.393	10250.929	9563.039	6889.497
75	3633.144	3650.841	2125.002	3371.22	2953.507	5322.436	5135.073	3753.814	7414.259	3949.653	2692.912	3862.293	2446.494	9981.258	9721.464	9999.346	9541.679	6859.613
76	3588.182	3653.673	2109.74	3379.061	2938.014	5330.994	5236.288	3730.246	7320.76	4033.293	2621.477	3703.666	2385.768	9635.577	9657.102	9789.573	9763.894	6933.528
77	3523.778	3725.682	2101.965	3379.83	2895.04	5325.406	5392.67	3735.761	7280.587	4078.135	2598.49	3618.969	2348.207	9418.791	9755.496	9660.213	9955.187	6966.975
78	3528.606	3791.402	2145.05	3292.371	2890.463	5296.245	5529.484	3740.094	7315.351	4164.114	2587.364	3560.361	2321.384	9320.597	9855.892	9491.233	10083.963	7067.139
79	3498.992	3847.606	2210.957	3208.342	2909.567	5296.7	5690.519	3781.325	7445.61	4235.191	2617.249	3593.41	2301.26	9167.625	9987.508	9560.777	10278.633	7105.493
80	3546.506	3853.243	2254.011	3115.974	2911.452	5298.19	5864.895	3837.26	7609.939	4251.524	2645.795	3686.278	2284.643	9256.235	10133.497	9474.606	10409.1	7224.719
81	3583.677	3905.232	2302.781	2993.056	2930.474	5332.608	5993.051	3939.502	7849.423	4303.19	2724.088	3839.257	2288.58	9305.944	10318.784	9599.634	10662.669	7357.023
82	3687.672	3940.668	2357.017	2931.684	2983.092	5395.324	6127.836	4036.423	8087.756	4349.574	2825.512	4041.37	2300.757	9360.781	10357.831	9682.104	10883.204	7438.476
83	3778.365	3979.034	2366.119	2868.796	3009.166	5477.003	6124.901	4181.122	8298.374	4419.199	2937.912	4258.135	2311.38	9473.339	10535.697	9768.139	10995.282	7528.064
84	3929.867	3989.753	2362.61	2834.794	3036.328	5564.423	6125.148	4294.765	8468.271	4458.237	3060.073	4499.263	2305.082	9577.887	10737.61	9935.853	11240.992	7551.495
85	4022.781	3993.611	2339.421	2884.904	3057.651	5665.826	6084.808	4359.274	8551.323	4491.594	3183.189	4705.474	2285.604	9625.242	10704.865	9882.138	11160.615	7624.235
86	4112.577	3917.56	2275.831	2945.094	3057.648	5735.502	6025.411	4411.396	8459.469	4534.335	3128.287	4853.537	2271.795	9584.941	10634.166	9855.835	11267.132	7565.336
87	4147.186	3886.614	2210.673	3001.26	3045.969	5784.001	5957.649	4429.672	8321.142	4566.472	3086.444	4903.166	2235.824	9496.894	10473.065	9670.134	11184.806	7587.578
88	4134.974	3831.184	2146.148	3079.641	3015.521	5756.687	5858.18	4405.433	8083.386	4553.618	3045.889	4913.201	2199.143	9317.744	10365.25	9526.305	11140.583	7501.439
89	4103.223	3743.078	2067.794	3132.801	2975.652	5735.669	5795.424	4341.312	7783.301	4582.875	2979.823	4859.17	2161.303	9166.45	10196.026	9304.092	11019.668	7452.165
90	4017.76	3729.456	2029.889	3173.018	2939.916	5666.469	5780.407	4261.009	7530.44	4568.279	2875.385	4735.149	2120.1	8955.411	10108.649	9098.934	10882.886	7321.431
91	3867.39	3608.517	1961.23	3191.215	2881.258	5585.959	5729.578	4177.493	7340.479	4582.316	2832.49	4610.464	2079.17	8752.103	9925.518	8894.743	10701.731	7175.762
92	3771.219	3572.653	1967.123	3211.565	2822.428	5506.522	5801.519	4091.336	7260.865	4570.982	2721.013	4467.264	2043.889	8566.818	9808.672	8602.065	10521.629	7119.024
93	3664.071	3551.883	1977.955	3232.195	2777.39	5419.288	5894.284	4026.937	7318.246	4580.794	2635.318	4338.757	2004.523	8314.288	9714.169	8428.221	10553.63	7067.171
94	3588.607	3563.823	1988.143	3214.696	2736.822	5364.131	6056.659	3951.709	7463.698	4611.737	2570.611	4219.165	1973.97	8151.844	9689.243	8279.619	10626.963	7046.062
95	3545.077	3575.68	2013.876	3196.82	2705.01	5312.373	6183.355	3929.517	7675.123	4631.822	2550.76	4150.236	1968.298	8019.993	9806.79	8178.609	10732.878	6958.363
96	3539.753	3636.705	2033.229	3187.582	2689.012	5324.059	6336.887	3962.491	7913.995	4643.892	2541.742	4145.608	1973.303	7849.96	9927.883	8172.016	11002.459	6982.327
97	3600.107	3705.881	2054.784	3175.809	2689.522	5339.063	6419.666	4015.536	8145.277	4674.188	2572.781	4177.964	1975.919	7766.182	10124.145	8173.325	11179.495	6994.145
98	3674.338	3725.569	2042.215	3153.078	2665.357	5426.61	6455.891	4104.212	8276.215	4687.497	2609.143	4292.365	2001.541	7708.19	10251.861	8197.476	11396.604	7072.593
99	3768.61	3750.387	2018.882	3125.717	2688.831	5500.869	6499.145	4195.312	8337.867	4675.717	2660.049	4438.588	2029.995	7751.102	10375.867	8218.831	11333.043	7072.705
100	3887.863	3780.856	2016.672	3158.761	2695.793	5633.015	6445.414	4282.791	8278.002	4673.177	2733.823	4604.383	2057.969	7725.371	10362.694	8266.604	11403.929	7083.229
101	3944.611	3771.537	1968.917	3173.812	2712.481	5722.445	6348.906	4351.052	8173.906	4629.148	2780.603	4778.951	2084.311	7797.121	10325.167	8253.204	11194.455	7084.769
102	4015.822	3718.535	1934.126	3238.531	2704.631	5780.516	6261.486	4361.861	7967.252	4579.677	2758.55	4941.733	2080.9	7691.071	10122.371	8192.934	11079.369	7042.463
103	4027.207	3663.726	1895.2	3336.24	2699.983	5830.025	6176.686	4353.796	7691.794	4554.583	2783.937	5041.629	2078.32	7683.514	9979.543	8118.975	10973.958	6944.937
104	4008.757	3573.755	1846.654	3399.545	2678.039	5820.999	6049.485	4283.564	7442.836	4476.333	2726.404	5068.933	2071.076	7631.827	9887.351	8057.729	10681.407	6799.714
