TIME	20190130_W01	20190139_W02	20180130_W03	20190130_W04	20190130_W05	20190130_W06	20190131_W05	20190131_W06	20190131_W07	20190131_W08	20190207_W06	20190207_W07	20190207_W08	20190208_W06	20190208_W07	20190208_W08	20190208_W09	20190208_W10	20190214_W06	20190214_W09	20190214_W10	20190219_W05	20190219_W06	20190219_W07	20190219_W08	20190219_W09	20180510_W16	20180510_W15	20180510_W14	20180510_W13	20180506_W05	20180506_W06
10	1572.997437	1117.903442	1018.87085	1511.776123	1031.776611	991.353455	1448.694946	1025.727417	1421.746338	1500.550537	1878.990234	2020.696045	2686.284424	1008.625427	1334.947021	1102.412231	1220.343384	1317.643921	1228.374268	1145.508789	1323.465942	1060.623535	566.822205	679.186951	1020.90332	878.53418	597.626	525.784	644.559	641.806	1128.793	997.895
11	1714.711548	1147.828125	1033.11499	1560.186401	1056.367065	1027.017456	1414.658936	1036.88623	1377.52063	1456.248779	1895.690796	2014.599487	2652.056152	967.641113	1324.564697	1086.801025	1199.430786	1305.423584	1217.350098	1115.141846	1304.066162	1041.594116	560.255005	678.815002	1014.815491	868.998413	585.028	521.114	638.404	640.387	1110.104	972.878
12	1720.911133	1099.335449	1003.520447	1495.800537	1037.426392	991.584595	1381.275635	1063.605591	1340.529663	1435.811157	1877.310303	2010.336914	2609.070557	949.928955	1329.820557	1079.81311	1186.185059	1284.614502	1202.992554	1088.762329	1303.032715	1030.282593	550.394043	669.710999	993.576233	850.9021	573.933	506.45	635.225	638.798	1074.553	949.212
13	1782.734497	1108.70874	1029.224365	1513.589478	1037.560425	1033.905396	1361.9552	1050.587891	1295.091675	1400.075562	1887.852051	1981.830078	2550.417969	947.006165	1324.951782	1067.883301	1158.153564	1258.993164	1209.081909	1081.937012	1302.51062	1021.492065	550.670166	672.660339	992.933411	818.741943	565.98	493.174	627.154	639.421	1078.044	955.182
14	1704.984375	1075.67395	1003.174622	1486.383423	1008.43689	1039.907471	1344.946411	1055.90332	1262.28418	1361.045532	1864.915527	1950.34021	2525.655518	939.651855	1323.124146	1073.573975	1157.500244	1259.505859	1208.451294	1064.920654	1307.306763	1012.797974	549.423096	669.053345	987.711487	785.789978	552.468	486.011	624.629	628.654	1070.658	945.377
15	1753.175293	1061.159302	1019.722107	1466.059326	999.348206	1023.136719	1328.683716	1070.203125	1233.539795	1312.738159	1901.499634	1952.537964	2565.650146	903.021484	1324.035889	1067.344971	1163.613281	1254.458984	1176.744995	1070.871582	1286.23999	1003.102539	537.175781	664.290039	994.975403	762.054138	549.082	482.968	625.169	629.727	1020.034	921.745
16	1708.421631	1053.801636	1036.376831	1449.403442	1022.209534	1052.997314	1314.712158	1084.70459	1193.706299	1279.637329	1898.553223	1926.272217	2507.625977	902.137207	1319.288208	1048.061768	1150.696167	1239.248657	1148.335083	1072.072998	1262.036865	989.250427	547.804016	654.05835	984.773987	747.122437	542.866	479.111	630.201	625.098	1016.94	902.544
17	1686.476807	1035.628296	1021.092346	1462.825806	1004.904907	1048.258545	1307.771362	1101.468994	1181.135498	1251.949219	1855.759277	1864.289062	2466.80957	894.689636	1285.370972	1026.992065	1136.020752	1218.416504	1131.624878	1055.320312	1238.674927	975.63208	523.7229	630.836914	967.755371	717.403015	537.444	471.867	635.113	630.179	1030.113	915.07
18	1698.475098	1066.978638	1032.480103	1413.850342	1014.935547	1065.686279	1295.497192	1097.744873	1173.335449	1225.733521	1815.182861	1838.809082	2390.525635	891.000366	1252.587646	1006.552551	1119.02478	1207.916016	1103.720703	1046.330078	1260.423584	950.779724	501.408234	622.151489	964.493225	687.634644	537.889	465.77	626.34	619.846	1017.989	913.042
19	1624.799561	1030.981689	998.997192	1378.882812	986.63739	1054.973389	1277.976562	1105.86084	1145.000244	1213.393799	1769.020508	1815.114746	2405.483887	900.122986	1231.742188	987.820618	1107.146118	1200.844849	1135.473389	1050.938965	1266.775757	931.329407	486.521637	604.487915	955.520996	674.038208	530.5	463.434	630.447	611.189	1027.466	915.799
20	1693.76416	1055.52832	998.411072	1411.393799	971.198364	1008.472534	1254.721069	1106.147583	1133.57959	1195.436646	1726.611328	1804.64502	2361.807129	879.559143	1207.546875	983.77594	1101.692993	1186.942261	1144.56897	1063.906616	1273.348267	917.023315	479.131592	591.046997	952.422485	657.750488	528.054	458.547	617.356	605.648	1019.782	900.586
21	1654.373169	1054.487061	981.483337	1396.52002	983.704407	1020.304077	1249.177002	1122.450073	1133.342407	1192.781372	1705.085327	1809.629272	2362.61792	860.368896	1202.424927	973.151001	1089.689209	1178.283325	1136.820557	1058.704956	1295.41272	905.152222	478.388794	573.540039	954.251038	648.982666	525.862	458.518	611.625	599.107	1037.22	912.122
22	1638.9552	1059.459961	948.604187	1399.397705	951.473633	972.61731	1230.408325	1121.182129	1114.885986	1192.47876	1654.972656	1807.796997	2335.912598	854.018005	1168.469238	966.35437	1075.049438	1157.542603	1147.557983	1050.986328	1321.348389	895.347351	476.262817	566.326599	960.431396	663.041748	526.679	456.695	608.354	583.181	1024.704	905.992
23	1685.335205	1092.536865	960.396484	1466.241089	978.463989	989.838745	1207.810547	1111.405273	1100.104858	1195.385864	1610.762695	1787.429443	2340.253662	839.11676	1126.961182	942.148499	1060.921753	1150.294067	1145.029663	1037.971924	1331.795044	883.895691	469.449463	563.952087	950.771301	652.591614	529.71	456.081	596.552	575.279	1035.87	899.265
24	1635.697998	1075.244629	924.145325	1444.859131	949.756714	940.474182	1185.239258	1101.053101	1084.12854	1190.936768	1571.117432	1741.895752	2313.252686	824.632751	1098.775879	928.054749	1032.062134	1131.930542	1136.326782	1020.932983	1339.466187	876.070801	466.086945	551.715454	950.626892	652.525024	529.629	450.747	581.565	565.119	1034.565	905.151
25	1723.706421	1116.223389	961.065796	1451.76355	957.924255	971.549011	1151.960815	1083.90271	1064.009155	1183.227905	1545.482666	1717.231445	2297.668701	823.846252	1087.995361	915.796204	1015.972595	1128.00061	1131.335449	1009.563293	1349.616455	867.880981	453.565369	538.048645	940.926147	639.129028	536.867	457.362	570.608	551.486	1038.614	901.824
26	1670.434448	1092.954712	957.815613	1398.575317	937.375244	922.609375	1129.838745	1072.068359	1044.375854	1183.88562	1501.005493	1680.007202	2383.63501	814.034729	1072.603394	915.533997	988.210693	1142.741821	1135.211914	988.118591	1353.906494	864.735474	447.297668	537.591797	948.470032	641.389771	537.772	461.077	565.591	542.294	1040.733	909.921
27	1707.838379	1125.023315	1010.941101	1430.52124	958.113525	954.954407	1107.443481	1073.90979	1031.763428	1182.043091	1444.792847	1624.132202	2411.997314	806.095581	1078.102783	915.380371	980.492126	1158.493896	1118.332031	972.708496	1354.675537	856.273621	439.407776	533.834351	938.332397	646.482849	552.134	462.16	549.512	537.282	1028.737	901.698
28	1669.494507	1112.201538	1035.158447	1422.064087	964.074341	904.986023	1083.712524	1049.059082	1026.328125	1182.688599	1438.226929	1600.831299	2462.575684	797.006042	1081.812988	922.19812	986.041077	1175.299561	1119.08667	953.335876	1345.441284	843.391113	451.834564	543.665466	946.400146	649.708374	561.223	467.593	550.723	535.514	1026.524	917.711
29	1691.527222	1135.640747	1088.563965	1430.952759	983.442932	942.285522	1081.37854	1047.237549	1036.814087	1186.315552	1396.272095	1561.253296	2481.427979	801.704468	1079.605347	915.921997	1001.941711	1190.644043	1104.893311	943.109802	1337.16687	828.273682	459.731445	531.924622	951.464783	653.41217	563.871	468.082	553.563	536.36	1033.893	906.145
30	1651.853882	1124.017822	1092.124268	1414.77771	989.927063	957.805115	1079.847046	1043.187012	1019.059143	1190.020874	1400.341797	1559.741455	2526.228271	810.427979	1083.367798	923.68866	1004.072937	1202.083374	1092.328125	952.749573	1335.153076	826.630798	464.816315	531.50061	965.553345	654.360046	577.039	472.273	553.152	530.763	1041.32	927.797
31	1641.736328	1135.956909	1111.373657	1369.413818	975.10083	933.095886	1080.481445	1031.791016	996.493408	1202.735474	1407.988525	1573.169067	2549.164062	813.20813	1077.538696	923.667664	1013.004761	1225.52002	1071.697144	945.503662	1337.839722	812.688049	458.374329	539.779602	970.444458	652.881409	581.71	474.286	548.694	529.212	1041.625	927.8
32	1611.365234	1152.929443	1126.073242	1383.434448	1014.243652	940.9151	1091.420166	1054.838745	981.670288	1212.263184	1438.936157	1603.129395	2548.703857	831.010681	1092.148315	933.643433	1035.950195	1221.538696	1065.43457	969.966858	1344.686401	803.01123	458.261444	546.683777	990.098572	681.298218	576.695	473.285	543.339	530.579	1033.214	936.196
33	1600.75708	1138.830566	1082.465454	1352.311157	990.976501	923.636841	1102.12146	1077.172241	986.059937	1202.647095	1414.731201	1611.576538	2477.305908	840.470276	1116.395264	940.280334	1042.053345	1227.152466	1078.981201	975.511414	1344.14502	805.530579	452.328094	556.257751	983.937317	651.252563	576.912	471.327	538.981	524.911	1029.187	924.237
34	1646.404907	1180.476196	1103.962769	1356.093994	1020.504639	929.836426	1110.692017	1093.752075	963.200684	1181.793335	1422.71582	1624.146851	2444.063721	825.333923	1113.125854	939.056946	1036.263062	1195.916016	1071.635986	973.377502	1340.348145	790.669495	456.67923	558.027405	1000.783569	682.872986	581.533	474.623	535.529	519.283	1037.719	943.208
35	1574.384644	1164.703003	1072.570557	1320.441895	1001.851807	924.442871	1099.37915	1089.503296	957.238281	1165.7771	1415.004395	1622.35791	2377.968994	826.62616	1104.136475	933.718323	1021.630615	1190.510986	1067.110352	971.752625	1342.623291	782.721008	448.524536	542.147339	993.297852	691.716675	580.486	477.302	529.997	520.983	1038.387	928.848
36	1629.129639	1175.790283	1064.91687	1309.396484	993.137512	937.6745	1100.646851	1080.73584	949.930969	1149.315186	1399.6875	1617.270874	2316.121826	808.019531	1084.342163	925.007446	1013.947571	1176.591064	1058.601562	957.846802	1355.754272	780.142395	448.281189	538.791016	992.682373	595.274048	587.811	480.335	519.326	517.108	1035.081	938.701
37	1606.281738	1164.170044	1027.641968	1315.284302	982.8255	951.340088	1090.677979	1084.588745	926.91449	1143.62146	1367.186646	1580.098267	2294.258057	804.810974	1079.855713	913.939026	1022.880737	1161.097046	1048.822021	948.92981	1345.282837	781.575317	444.135498	533.716797	989.003357	606.982849	585.868	480.014	504.315	510.561	1029.786	925.787
38	1599.040283	1185.440674	1010.176331	1317.246948	960.255554	927.196777	1077.713501	1081.019043	898.683411	1135.96228	1339.545166	1529.331055	2273.452637	789.484314	1053.61145	898.684631	993.5047	1144.709473	1043.393799	939.190613	1350.567993	776.564148	443.851807	524.55072	982.402466	617.996643	586.76	482.617	489.946	507.354	1034.902	942.11
39	1554.583252	1164.017456	1012.406921	1305.309692	969.655334	954.600769	1083.038696	1045.525269	876.494934	1123.213379	1318.351562	1480.878906	2312.42041	786.25	1051.089233	874.971924	971.160095	1142.983765	1052.716553	920.8255	1329.019165	782.476807	445.719482	528.153503	990.663696	594.87085	593.213	488.497	485.232	507.465	1026.437	942.934
40	1500.777954	1137.833862	971.816528	1226.458374	927.767761	887.279297	1082.323853	1009.391724	850.561279	1098.900391	1316.316895	1453.055908	2341.529541	780.028015	1042.048462	867.243958	953.310913	1144.043945	1035.552002	908.270081	1303.773804	781.202026	436.504822	518.982361	982.271301	568.619568	588.294	487.803	475.191	500.79	1040.376	930.577
41	1462.053833	1149.345093	993.996643	1224.868164	946.273499	877.889282	1083.852295	990.118713	812.211914	1076.452148	1287.325684	1380.211426	2450.638428	774.344177	1023.990845	849.796326	938.370239	1145.829224	1016.051697	888.616882	1268.147095	762.101196	433.91394	512.42749	986.558044	608.595093	594.125	486.715	469.249	500.53	1009.922	922.575
42	1403.635742	1091.511353	969.312256	1139.177124	926.173462	820.635437	1073.177368	969.711426	785.013489	1077.575806	1246.233032	1326.943237	2493.126953	761.684631	1015.406067	839.451843	927.105103	1153.101074	1008.214355	878.719177	1236.216309	764.138733	433.663208	506.625214	985.255737	637.918579	596.508	490.963	476.3	490.008	1015.362	939.351
43	1412.492798	1110.501221	1026.439941	1111.058716	949.766846	814.110352	1054.167236	943.049011	753.984741	1066.471191	1249.682861	1326.853638	2539.493896	754.089783	989.973999	832.055664	922.547119	1170.900513	993.407166	868.527832	1206.654297	752.023438	427.970612	499.754425	987.486206	651.858887	607.32	496.015	482.47	491.967	1021.608	933.369
44	1356.078735	1066.905396	1040.333984	1063.036011	935.981079	785.398621	1032.787598	935.346375	741.571777	1052.381958	1248.395752	1329.233765	2525.585938	749.131531	974.534119	827.722717	929.376892	1181.91626	987.871765	874.149292	1183.822876	738.193604	422.262634	491.924408	991.583069	674.251404	613.221	487.262	489.609	492.724	1022.515	944.85
45	1397.233643	1086.067993	1106.463013	1082.6698	960.343445	785.526672	1021.235229	921.979492	732.545715	1055.196045	1253.831787	1358.80127	2478.344971	743.559143	958.98291	820.966492	945.959839	1191.417847	972.114258	880.675537	1175.228638	725.566162	417.031006	489.793152	988.530518	672.707153	613.95	489.168	499.444	492.344	1014.574	929.926
46	1338.653687	1064.158936	1123.789307	1046.765625	959.251343	789.530029	1003.270142	922.175659	724.216492	1057.030273	1249.945435	1376.808594	2448.375488	741.281555	944.52417	814.559265	960.514893	1193.331543	949.120544	870.929993	1166.772583	711.233337	414.401855	493.703369	995.749146	715.101868	613.038	488.745	502.653	492.245	1029.914	948.112
47	1405.954834	1072.352905	1186.499023	1080.724609	967.105408	789.746521	986.078552	916.070862	732.677551	1062.86145	1260.63855	1403.247314	2386.878906	734.650635	938.236206	825.067932	975.649231	1193.872925	938.845215	876.985657	1171.554565	705.325806	410.895386	497.041534	999.560791	707.537842	606.865	491.034	497.602	489.41	1030.789	945.396
48	1371.91626	1073.006348	1230.610107	1109.302246	998.115479	813.353882	973.577454	915.351807	738.464172	1075.33606	1286.750366	1402.07251	2319.654541	728.312012	927.082336	815.193665	988.095276	1195.178101	944.31311	889.242371	1198.502441	698.046753	411.065033	497.753815	1005.183044	745.241272	611.805	488.711	491.038	488.747	1025.186	946.805
49	1346.657104	1051.692871	1226.162964	1117.272827	983.933899	819.162598	966.500183	938.077209	751.098633	1071.474609	1292.685181	1409.505005	2227.832031	726.938904	941.032043	824.509277	1004.088867	1192.743408	940.615295	914.188843	1223.314575	701.936646	413.773499	517.020203	1018.691895	765.600586	613.076	496.791	499.462	490.573	1018.32	942.151
50	1370.692871	1080.15332	1266.53125	1214.302246	1031.966064	857.576904	973.581299	956.846252	755.197144	1077.133301	1276.636597	1380.362793	2210.791748	729.28772	924.824951	830.181946	1008.285645	1165.76709	955.585999	917.802734	1241.513916	708.878967	414.349731	518.599182	1025.340576	764.314636	614.072	501.561	500.153	490.628	1027.404	957.73
51	1264.650391	1069.848633	1232.871948	1226.918579	1015.668945	869.091675	957.998657	965.05896	750.376709	1046.383179	1244.871582	1337.330322	2186.608154	732.791809	913.057556	839.219177	1003.76825	1134.381592	962.412781	908.414307	1212.741577	709.437134	414.160736	510.017517	1030.273438	747.151306	609.051	507.502	499.882	495.856	1029.757	964.066
52	1270.659424	1084.72937	1215.706543	1253.267578	1019.555786	890.50647	951.464478	966.328125	730.374939	1035.795288	1236.214111	1313.865845	2165.432129	721.838135	884.780029	834.076538	992.095093	1112.470703	958.554993	902.80835	1196.210693	715.262024	413.891541	507.948914	1039.793335	741.515808	605.212	509.553	493.554	495.236	1022.338	965.644
53	1185.668823	1070.044189	1184.540039	1225.517212	996.511841	878.742432	953.724365	983.409485	717.717163	1028.756836	1203.122314	1278.911499	2143.901123	712.125122	868.632507	832.238831	977.494263	1089.614868	958.583374	898.730286	1190.714355	710.666321	403.700531	501.709686	1040.654785	719.498291	594.369	512.223	494.926	501.99	1017.091	967.227
54	1157.05957	1093.941772	1167.019531	1223.452881	1002.755737	878.754333	955.932983	991.632019	702.501465	1018.609619	1197.400635	1256.533081	2128.654053	710.711304	862.169128	835.356018	966.7724	1076.683594	958.791626	896.118347	1169.823486	715.262695	409.800873	498.688354	1033.963013	711.931213	595.958	510.441	485.395	502.625	1003.319	968.707
55	1099.278809	1069.154053	1112.154541	1181.376953	989.158264	866.948914	956.040283	1001.482605	695.531189	1008.660217	1195.605469	1225.476196	2125.365723	705.867554	849.243958	819.259094	958.533508	1047.63501	955.036011	882.326111	1137.93689	715.945374	412.432648	497.719757	1032.091797	707.325745	587.093	508.673	483.137	503.743	1007.44	962.849
56	1063.421265	1047.606567	1070.328735	1125.315552	953.28656	827.449768	956.540833	1007.963318	679.296753	989.619934	1174.660034	1208.268188	2110.741943	698.056885	844.08844	804.539246	940.596069	1035.258667	939.922607	875.920959	1096.933472	708.166199	406.665558	490.951324	1016.576233	696.175659	578.466	502.846	474.973	494.905	985.747	942.686
