TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
50	2027.310669	1519.479248	1009.364136	1433.819458	1205.463257	868.926086	1281.878418	1869.50061	844.560059	882.129761	970.262085	769.573547	1088.489624	805.180298	664.547974	861.760376	904.050659	468.848236	1045.692017	524.636	528.992	560.54	826.225	990.616
51	1996.577637	1538.556396	1003.392944	1430.131958	1207.362793	844.629272	1267.942139	1878.751099	845.443359	878.572083	971.530273	774.463135	1117.782349	806.396301	660.963135	862.194702	903.229492	464.175262	1035.406494	524.211	528.211	555.948	829.161	1005.045
52	1973.157593	1504.342896	970.524475	1363.396484	1172.581055	810.58728	1225.868164	1879.05481	819.529297	868.012146	934.770691	762.827087	1099.991089	803.089478	654.604126	841.308594	877.578247	453.755951	1024.515137	521.818	523.197	546.748	831.716	995.525
53	1998.615356	1533.220215	987.719788	1382.957642	1176.033447	809.755249	1199.721436	1870.773071	825.283386	883.764404	928.523682	755.31189	1073.913452	792.433289	640.906372	835.919922	867.107788	445.652618	1023.671387	516.291	521.274	547.048	819.566	1010.086
54	1949.628296	1487.554932	973.168457	1329.666138	1169.366455	799.967163	1196.070801	1855.652466	822.234436	880.03125	932.822388	740.93927	1070.272827	809.288818	646.169189	843.020447	872.617737	443.001373	1014.213501	513.442	521.603	550.088	820.033	1008.585
55	1970.803955	1504.541748	998.381226	1306.866089	1172.677979	794.212402	1191.537842	1856.208984	817.452454	880.613464	922.557617	729.91095	1085.488159	808.00885	655.398865	838.604614	873.32312	444.210693	1006.626953	506.648	517.167	547.096	816.885	994.046
56	1880.556274	1435.77063	994.128479	1272.280884	1164.326294	786.569275	1161.828613	1852.943237	810.831665	879.221802	924.07959	727.965698	1093.508179	806.947693	645.702271	841.784058	866.690857	441.705383	993.401123	509.809	514.583	544.118	801.938	999.337
57	1906.022461	1441.996216	1014.806152	1379.56958	1158.306763	786.93634	1145.541138	1839.072144	803.709351	878.128967	922.316345	720.027954	1093.133423	802.441589	644.053711	836.109497	856.05249	442.785828	994.697021	503.202	512.105	545.704	803.432	980.428
58	1839.001221	1390.3302	1006.398499	1372.151733	1152.706299	786.260132	1141.542603	1864.46936	800.881165	884.267395	916.044128	722.791199	1091.49939	792.368042	650.312378	829.807312	838.515747	443.233612	1007.416382	506.066	510.473	544.256	799.804	979.497
59	1883.258423	1393.863892	1011.460632	1391.683594	1159.631714	786.23175	1110.631348	1887.670166	797.077087	879.06311	916.850098	720.908264	1097.258789	790.540283	646.473145	818.584778	830.776123	443.810791	1012.704712	499.803	500.795	534.72	793.451	971.478
60	1856.43457	1392.686768	1033.553101	1437.067871	1149.121216	782.156372	1074.583862	1922.999878	786.46875	872.906372	920.014709	717.009399	1112.650146	779.658386	643.819824	803.429626	818.873413	439.142059	1006.425476	503.428	497.19	532.247	795.363	983.578
61	1867.813354	1370.585083	1010.863647	1421.304688	1137.824951	773.289978	1056.222412	1958.812988	776.034241	868.045837	922.306396	714.95874	1094.192627	775.374756	644.796021	803.080811	810.556091	440.986359	1018.73468	499.584	494.276	533.989	788.513	970.186
62	1898.982788	1422.000488	1003.172729	1442.516724	1128.822754	768.537048	1021.215088	1972.880127	763.953979	856.034058	934.63739	716.599487	1091.872192	761.704346	720.294128	793.0401	802.192505	437.906128	1012.6427	503.308	492.54	531.863	799.774	986.601
63	1880.028809	1415.972046	970.452576	1407.725464	1139.973267	753.331482	992.400757	1991.164185	764.427979	841.204956	950.098816	713.794678	1084.324585	752.319458	707.403687	784.50238	792.465454	441.878296	1007.146362	498.246	496.039	526.886	804.684	987.626
64	1912.742676	1482.657349	986.369629	1409.37085	1153.444824	748.878784	966.056763	2021.715698	762.771545	829.657349	961.533813	709.267639	1072.191528	750.006348	707.247803	777.739502	782.119873	440.407806	991.888794	495.555	488.503	522.005	808.185	987.741
65	1886.117432	1498.149414	985.453857	1382.419556	1164.114868	740.808167	955.360352	2046.800171	758.250122	815.285706	964.67334	704.066833	1072.076782	755.705933	712.226074	768.795532	782.957031	435.736511	996.721497	488.449	489.33	519.525	804.763	994.203
66	1942.268066	1530.798096	996.327698	1341.751831	1176.348145	752.139282	937.353394	2046.754761	774.862427	831.113037	997.242493	709.166199	1061.575073	746.072693	710.174622	775.31488	789.888611	435.708954	975.868286	489.494	490.72	515.182	808.741	998.017
67	1916.80249	1529.524292	1017.80188	1334.474243	1185.424927	751.441528	908.473145	2042.061523	784.90155	817.253418	994.821228	714.478638	1044.803345	760.256287	730.918274	769.428223	789.799011	436.023895	967.922852	482.566	488.973	517.488	814.058	1005.552
68	1902.877441	1495.912354	1005.001831	1295.647339	1183.314453	761.068359	884.397888	1963.521606	781.796997	820.544983	980.983826	705.855835	1036.917725	772.207825	747.271606	760.962219	792.923279	433.849548	965.772522	479.272	480.737	513.841	806.798	988.73
69	1864.147095	1493.437988	1024.525635	1304.346191	1165.857422	756.170288	858.457581	1977.570557	769.621216	798.202332	955.189819	713.620911	1028.415405	767.500977	759.066345	745.047546	782.696106	431.028748	967.025452	478.903	487.331	514.757	800.323	1000.936
70	1840.734619	1456.968994	1018.788696	1317.538208	1149.950684	762.10083	842.861267	1962.210449	762.814575	797.282349	929.258057	697.340271	1025.276611	752.874573	760.228088	744.670776	782.627014	429.680298	966.911438	475.472	485.666	524.48	796.013	999.395
71	1840.435181	1457.608032	1016.657715	1361.498535	1127.402222	765.77655	832.809082	1969.831177	757.102661	792.203003	930.528198	696.860596	1033.361572	757.221191	763.071106	737.527222	777.710693	431.817902	961.419861	471.604	480.88	515.024	805.016	1002.234
72	1813.937378	1430.698975	1011.347717	1391.085449	1118.091309	768.768921	841.731079	1954.312866	745.404175	792.814087	928.508179	691.034485	1023.145569	754.279724	759.271729	743.545288	783.300049	431.913666	956.237854	463.137	480.831	516.022	817.122	996.435
73	1780.758057	1403.263916	982.424744	1404.196045	1090.732788	772.037048	834.561035	1957.185425	741.771606	791.37439	935.171875	681.413269	1022.179077	755.055969	757.480957	725.160156	772.271362	431.987152	952.811401	458.518	478.495	519.395	820.68	998.612
