TIME	20170626_W01	20170626_W02	20170626_W03	20170626_W04	20170626_W05	20170630_W03	20170630_W04	20170630_W05	20170630_W06
110	1841.466	1968.79	2318.55	1799.888	2074.865	5916.833	5623.748	2649.234	2391.822
111	1804.753	1956.607	2300.121	1784.067	2036.135	5860.183	5643.11	2594.481	2355.572
112	1770.575	1937.819	2283.273	1757.283	2006.976	5807.443	5672.948	2548.714	2319.212
113	1732.205	1914.55	2265.83	1749.21	1980.152	5742.195	5702.761	2481.627	2279.814
114	1698.746	1887.007	2271.823	1742.628	1960.844	5729.084	5754.863	2436.252	2240.409
115	1658.254	1875.821	2278.126	1730.695	1955.618	5708.371	5788.538	2405.923	2212.697
116	1628.356	1869.189	2296.322	1717.333	1949.69	5697.382	5801.635	2371.328	2185.855
117	1597.474	1872.008	2323.612	1724.238	1957.406	5703.671	5800.673	2356.714	2169.239
118	1579.414	1893.621	2337.771	1713.065	1949.117	5748.267	5771.498	2334.834	2141.394
119	1548.958	1910.29	2336.142	1716.83	1954.576	5774.57	5741.497	2335.515	2135.51
120	1529.605	1924.01	2333.949	1713.807	1954.548	5798.809	5692.133	2332.184	2117.337
121	1508.833	1923.814	2306.979	1699.389	1945.53	5786.342	5619.519	2311.689	2105.088
122	1493.18	1923.212	2305.449	1700.381	1923.692	5741.038	5532.661	2285.856	2092.097
123	1469.676	1905.768	2276.132	1684.944	1915.343	5666.314	5457.907	2255.219	2072.859
124	1457.539	1890.265	2248.416	1673.154	1883.257	5596.163	5398.454	2232.771	2057.433
125	1440.892	1880.422	2224.912	1657.024	1872.508	5570.436	5374.438	2206.948	2035.984
126	1424.639	1866.422	2211.168	1646.041	1843.135	5499.716	5376.64	2170.145	2009.258
127	1412.186	1846.198	2210.437	1644.789	1821.613	5500.57	5412.979	2141.695	1985.049
128	1387.012	1838.505	2218.649	1626.924	1811.123	5528.313	5493.372	2124.781	1977.652
129	1378.677	1836.623	2243.066	1619.505	1806.423	5570.821	5511.399	2117.125	1960.705
130	1377.25	1851.899	2287.978	1630.305	1810.88	5599.607	5520.231	2093.704	1936.408
131	1364.827	1865.516	2302.557	1619.982	1817.444	5605.101	5525.798	2084.041	1914.684
132	1358.51	1888.013	2315.337	1626.246	1827.469	5602.698	5487.254	2081.813	1907.521
133	1348.611	1903.372	2319.633	1620.333	1823.979	5586.107	5430.79	2082.236	1900.045
134	1338.99	1920.457	2316.967	1602.335	1832.089	5550.553	5360.292	2084.796	1907.083
135	1332.77	1919.384	2293.306	1604.673	1831.427	5493.679	5264.077	2080.207	1890.357
136	1328.474	1910.99	2270.448	1596.572	1814.545	5425.007	5173.729	2068.683	1888.179
137	1327.144	1900.44	2227.898	1589.174	1802.138	5345.401	5111.911	2044.922	1876.515
138	1324.119	1883.773	2196.408	1582.857	1776.746	5283.129	5080.62	2021.589	1860.05
139	1313.445	1873.809	2170.984	1583.741	1761.732	5224.703	5061.087	2015.505	1843.699
