TIME	20200220_W01	20200220_W02	20200220_W03	20200220_W04	20200220_W05
49	3216.637695	2948.177734	1762.561768	3283.913086	761.832336
50	3133.983398	3049.995361	1764.226685	3320.02417	776.911804
51	3103.76709	3267.07666	1794.839355	3231.118408	794.870483
52	3134.496338	3447.859375	1778.344727	3286.486084	814.733154
53	3157.969238	3697.923828	1821.587524	3269.523926	856.64032
54	3216.773682	3956.393066	1871.338379	3399.483887	885.815674
55	3376.787354	4228.500977	1934.39917	3524.55249	908.712524
56	3569.449707	4368.956055	1932.600586	3660.830078	919.166992
57	3829.564697	4556.294434	2059.108154	3783.693115	914.53479
58	4064.839355	4654.621094	2091.734863	3968.259033	909.033875
59	4274.120117	4606.585449	2135.807861	4115.541504	917.460632
60	4404.161621	4551.801758	2219.024902	4209.13623	900.870117
61	4508.761719	4504.822266	2195.448242	4311.777832	890.779175
62	4549.717773	4465.877441	2228.514404	4421.455078	894.263489
63	4561.200195	4393.847168	2233.568848	4342.59668	903.909973
64	4552.707031	4542.690918	2258.238281	4430.398926	906.579041
65	4531.332031	4671.465332	2270.95166	4485.28418	918.783691
66	4389.546387	4844.068848	2331.570557	4460.676758	939.508423
67	4432.82373	5089.621582	2348.451904	4506.192871	953.500366
68	4435.520996	5298.06543	2449.303955	4598.619629	971.150452
69	4471.943359	5444.762207	2490.568115	4638.902832	978.095215
70	4515.006348	5736.645508	2505.791016	4754.698242	977.100708
71	4627.459473	5856.515137	2558.035156	4784.501953	962.917236
72	4711.833496	5957.528809	2591.578613	4936.587402	966.114502
73	4751.80127	5950.76416	2572.947754	5000.847656	957.307129
74	4767.608887	5882.66748	2595.448975	4974.919922	950.931641
75	4773.450684	5929.562988	2613.504639	5193.824219	948.796875
76	4745.61377	5946.095703	2646.858398	5115.337402	944.583801
77	4650.148926	5950.970215	2691.753174	5198.42041	964.852844
78	4543.674316	6098.276855	2719.120361	5207.168457	988.92218
79	4464.798828	6260.451172	2772.557617	5193.680176	1018.328979
80	4440.000977	6476.256836	2806.243652	5194.636719	1046.17688
81	4327.32373	6786.612305	2855.667969	5198.497559	1073.33313
82	4263.018066	6922.973633	2874.694336	5249.784668	1101.786743
83	4233.720703	6943.768555	2916.663818	5232.692383	1138.436157
84	4206.358887	7004.725098	2929.039795	5244.804199	1132.585938
85	4179.443359	6935.885254	2928.121338	5259.623047	1149.019653
86	4130.494629	6974.682617	2930.522949	5229.585938	1146.7052
87	4102.123047	6718.777832	2919.465088	5198.833008	1150.083252
88	4049.667969	6619.250488	2912.400635	5112.241211	1156.839355
89	3967.609619	6554.290039	2934.593018	5098.364258	1163.090942
90	3877.448242	6513.004883	2995.295898	4999.489746	1175.431519
91	3805.340088	6370.0625	3028.22583	4928.141113	1177.541382
92	3722.858887	6388.846191	3063.029297	4880.353516	1187.740845
93	3669.64209	6351.131348	3136.296875	4762.296875	1203.666626
94	3594.29126	6442.366699	3178.081543	4689.893066	1235.222168
95	3566.086182	6360.154297	3206.335205	4636.854004	1283.834351
96	3556.735352	6412.541016	3271.319092	4599.085449	1295.262939
97	3543.847656	6342.18457	3318.084229	4566.992188	1341.617554
98	3523.698975	6274.845703	3354.11084	4519.962402	1363.893921
99	3507.223145	6216.938477	3400.642578	4494.139648	1388.63147
100	3464.763916	6087.370117	3384.888184	4390.400879	1366.307861
101	3446.605469	5968.805176	3447.556152	4310.149902	1383.102905
102	3387.824707	5838.411621	3473.930908	4235.632812	1375.049194
103	3328.12793	5693.132812	3528.195801	4135.383789	1370.237061
104	3264.752686	5593.033691	3596.656982	4039.219238	1359.545654
105	3200.984131	5503.744141	3659.74585	3959.814697	1348.541016
106	3128.000977	5444.664062	3701.614258	3881.34375	1355.381714
107	3101.330078	5347.414551	3724.047852	3786.818359	1377.776611
108	3092.993164	5317.006836	3732.090088	3735.688965	1376.050049
109	3098.710693	5236.708008	3755.919678	3694.591064	1402.240845
110	3066.780273	5181.376953	3746.523438	3650.466553	1462.39209
111	3047.290283	5039.321777	3749.962891	3590.111328	1478.595825
112	3032.607422	4996.831543	3747.074707	3557.531738	1519.834473
113	3000.672363	4896.074707	3740.861084	3489.839111	1565.077271
114	2946.876953	4796.483398	3758.92749	3438.744873	1589.015381
115	2917.53125	4684.141113	3757.544189	3349.737549	1605.479858
116	2891.912354	4564.228516	3787.199951	3286.256836	1607.377563
117	2852.911621	4458.938965	3827.765381	3214.811035	1623.685547
118	2825.683105	4378.329102	3855.599365	3143.41626	1611.058472
119	2813.148682	4313.405273	3862.791016	3056.445801	1613.032837
120	2718.196777	4228.659668	3843.618164	3001.664062	1589.555786
121	2758.918457	4154.888184	3831.072266	2964.525391	1612.35437
122	2745.921631	4106.540039	3792.841797	2905.683105	1618.795288
123	2728.110596	4013.453369	3750.417236	2875.007812	1629.105835
124	2713.714844	3972.2229	3740.627441	2842.870117	1712.184082
125	2719.34668	3896.51123	3676.377441	2796.541016	1749.839722
126	2724.197754	3850.587646	3653.655029	2767.738037	1812.081055
127	2723.870117	3820.993896	3637.506104	2722.192627	1884.628174
128	2710.058105	3802.983398	3638.822998	2681.376953	1952.573608
129	2671.762695	3769.976807	3642.062988	2631.747803	2018.619507
130	2641.119873	3761.00293	3662.361084	2586.063721	2053.903564
131	2611.543213	3742.029541	3667.897949	2541.243408	2090.087402
132	2565.81665	3733.402588	3677.513672	2498.844482	2120.766357
133	2523.393799	3717.548584	3679.136719	2444.731445	2090.209229
134	2528.689453	3660.510498	3662.860596	2413.175781	2101.168945
135	2494.491699	3640.55835	3617.134521	2387.191895	2008.753296
136	2474.907959	3621.909668	3591.064453	2374.963867	2029.463989
137	2501.782471	3602.086426	3553.530273	2343.682129	2058.951172
138	2482.034424	3523.843506	3522.451416	2324.054443	2057.879883
139	2498.536621	3513.147461	3504.244385	2318.731689	2110.866211
140	2490.735352	3505.802979	3491.365234	2280.636963	2161.556641
141	2466.442871	3471.457275	3478.403076	2243.815918	2219.379395
142	2464.86499	3453.553955	3504.68457	2221.947998	2307.907471
143	2448.315186	3442.035889	3517.87915	2198.942627	2343.07959
144	2447.655273	3478.539307	3564.756104	2189.173096	2432.698486
145	2455.308105	3483.851562	3593.087402	2170.814697	2492.204346
