TIME	20200220_W06	20200220_W08	20200220_W09	20200220_W10
39	1933.380005	312.738708	1993.582764	1337.466064
40	1919.281372	310.00177	1994.623169	1328.536743
41	1931.644653	308.042694	2036.119019	1355.042236
42	1838.905884	301.971252	2088.741455	1305.49231
43	1730.695923	307.558777	2199.213379	1325.568481
44	1741.555664	311.322693	2323.873047	1342.555908
45	1715.880493	327.299133	2486.067871	1388.592041
46	1695.072266	329.697083	2696.324219	1400.635742
47	1810.306641	348.374146	2899.515137	1479.437866
48	1948.539917	356.795654	3065.644043	1597.41687
49	2103.642822	369.131592	3251.929688	1649.523193
50	2302.607422	374.606628	3280.209961	1702.869995
51	2328.173584	371.11618	3266.811768	1756.339844
52	2408.357422	368.660339	3223.547119	1767.031006
53	2372.364258	370.855652	3153.484131	1755.490112
54	2357.591797	373.780823	3167.923096	1763.218994
55	2309.137939	374.226715	3177.478516	1787.254517
56	2211.006104	373.916382	3226.673828	1756.838501
57	2043.205688	376.648926	3267.762939	1784.018066
58	2056.499756	381.658905	3327.370117	1770.016479
59	1968.623901	388.512482	3383.749756	1782.155884
60	1929.977905	409.825562	3478.894775	1812.488403
61	1875.019653	442.431274	3691.404785	1876.949463
62	1837.259521	476.216492	3920.679932	2014.854492
63	2030.738281	509.980286	4159.727539	2105.151123
64	2176.56543	537.558899	4520.874023	2247.871094
65	2289.494385	558.868347	4764.624023	2394.821533
66	2539.43042	564.64917	5038.030273	2464.616943
67	2751.010986	548.790222	5051.819336	2534.871582
68	2738.497559	537.494568	5121.953125	2489.293457
69	2669.178223	530.375122	5241.653809	2528.727783
70	2627.616699	518.708801	5272.206055	2499.962891
71	2538.01123	497.092987	5450.053711	2498.217041
72	2441.139648	505.907349	5551.503418	2513.734131
73	2404.987793	492.200653	5674.306152	2528.226318
74	2310.17627	508.880737	5890.094727	2557.963379
75	2262.151367	520.318359	5964.428711	2621.552246
76	2184.496582	529.469421	6136.729492	2679.258789
77	2220.287842	579.836792	6282.723145	2741.208008
78	2246.623535	608.696411	6409.188965	2835.829102
79	2309.137207	666.947083	6431.966797	2968.375977
80	2507.276367	718.110291	6410.605469	3140.033203
81	2729.234131	741.374451	6486.442383	3266.761719
82	3023.059814	800.665344	6407.537109	3372.899414
83	3301.716064	793.962463	6260.696289	3386.304199
84	3430.986328	774.127808	6025.561035	3320.853027
85	3451.250488	785.170776	5825.369141	3216.533203
86	3441.593262	766.348694	5602.32373	3071.726074
87	3364.866211	733.783142	5418.188477	2970.577881
88	3322.130127	700.036743	5306.964355	2855.018555
89	3197.761475	708.066162	5248.093262	2839.137939
90	3254.113037	704.515381	5214.897949	2747.769531
91	3262.44165	683.080444	5226.680176	2761.680176
92	3181.126465	689.092041	5182.571777	2803.879639
93	3193.602051	693.955933	5233.316895	2825.8396
94	3302.524902	781.643494	5130.332031	2911.565918
95	3356.213379	809.109924	5153.132812	3031.454102
96	3489.676514	855.88208	5130.125488	3171.158203
97	3646.369873	971.415771	5062.869141	3262.789062
98	3866.113525	1021.462402	4973.685547	3508.30957
99	4186.236816	1048.692627	4911.787109	3588.48877
100	4339.038574	1063.953369	4785.976562	3540.40918
101	4364.186035	1053.239624	4562.991211	3473.46582
102	4267.332031	1016.364197	4310.570312	3285.894287
103	4134.935059	1004.362549	4091.329834	3240.048828
104	4017.452148	933.934692	3862.45752	3033.291016
105	3875.624512	912.351929	3646.162354	2888.217773
106	3807.803467	872.988831	3486.046631	2815.836914
107	3767.474609	879.083435	3355.800049	2760.262451
108	3766.896484	854.902832	3246.413086	2724.643066
109	3780.385254	826.611328	3156.435059	2733.626953
110	3825.698975	858.099365	3088.30835	2742.547852
111	3864.775391	881.891357	3018.711182	2820.16626
112	3933.283936	921.097839	2929.942627	2895.607422
113	3960.095703	999.846741	2875.322754	3017.730957
114	4096.918457	1108.783813	2805.808594	3109.190918
115	4195.678223	1166.258057	2749.644043	3244.961914
116	4260.018066	1220.026611	2690.069092	3341.981689
117	4303.179688	1272.479004	2621.153809	3385.250732
118	4242.675293	1239.849854	2538.804199	3259.721436
119	4050.0625	1153.251221	2423.099609	3105.120117
120	3847.899414	1106.883545	2327.975586	2959.685303
121	3631.928955	1053.370728	2223.999512	2838.844482
122	3464.932861	1014.440552	2137.820312	2720.741455
123	3356.003906	956.473022	2076.667725	2604.650635
124	3262.158936	938.793579	2026.773438	2555.933594
125	3199.250488	919.34082	1983.105347	2560.390137
126	3132.996338	907.82373	1943.987061	2533.662109
127	3123.378418	907.435486	1914.912964	2566.764404
128	3105.850342	945.642883	1883.482666	2622.465576
129	3092.554932	978.199219	1866.332642	2697.784668
130	3075.468262	1024.915283	1837.068115	2815.76001
131	3046.131348	1149.775635	1813.213623	2950.885254
132	3037.135986	1195.610962	1785.09375	3046.356201
133	3021.618408	1246.087891	1766.058716	3153.310303
134	2986.369385	1226.082764	1738.989624	3205.156006
135	2901.362793	1212.58252	1703.947876	3146.03418
136	2719.947021	1151.219849	1664.982788	3078.718262
137	2574.347412	1099.46521	1624.704346	2958.155762
138	2449.066406	1034.454712	1579.406372	2842.47998
139	2297.564941	984.095398	1552.473511	2747.634277
140	2186.009766	974.3396	1522.872925	2678.213623
141	2089.996826	921.711731	1496.994629	2663.281494
142	2026.546997	904.889221	1485.801758	2632.904785
143	1980.802856	873.637939	1472.313599	2660.758789
144	1938.399414	884.420959	1466.294556	2684.960693
145	1909.5	903.036438	1451.73291	2757.579346
