TIME	20180119_W02	20180119_W03	20180119_W04	20180119_W05	20180127_DB_W02	20180127_DB_W03	20180127_DB_W04	20180127_DB_W05	20180518_W02	20180518_W03	20180518_W04	20180518_W05	20180518_W06	20180519_W07	20180519_W02	20180519_W03	20180519_W04	20180519_W05	20180519_W06	20180519_W07
57	13050.724	4232.384	5401.682	20041.934	4683.73	3333.807	1513.488	3567.657	9551.025	13111.224	9820.186	14425.336	11415.235	14838.581	3767.759	9044.061	9873.882	7572.332	9481.825	9851.982
58	13040.468	4229.826	5351.602	20603.137	4803.104	3328.726	1587.227	3628.068	9710.761	13347.76	10030.46	14507.178	11546.119	14566.194	3795.087	9183.54	10515.146	7942.585	9627.033	10440.5
59	13344.636	4345.952	5324.979	21273.75	4868.222	3301.198	1619.396	3636.74	9847.71	13380.106	10119	14537.895	11644.021	14844.852	3807.824	9210.841	10734.764	8177.697	9600.44	10883.03
60	13581.9	4511.011	5326.144	22012.162	4949.209	3303.207	1646.088	3640.696	9716.858	13226.414	10229.872	14189.363	11265.533	14827.621	3819.358	9087.786	10675.415	8409.824	9399.146	11083.807
61	13754.648	4626.264	5292.817	22755.955	4966.019	3319.712	1621.001	3558.044	9704.027	13304.129	10503.788	14240.628	11109.204	14776.077	3890.768	9158.143	10661.938	8805.904	9331.376	11344.211
62	14205.698	4849.518	5369.594	23198.623	5034.812	3366.586	1642.602	3575	9570.376	13091.329	10701.869	14147.068	10937.028	15079.285	3873.405	8954.715	10468.571	9042.423	9210.007	11516.083
63	14326.324	4989.655	5420.51	23457.84	5119.125	3473.523	1666.575	3586.167	9833.709	13232.173	11135.624	14221.333	10780.787	15420.407	3778.124	8623.265	9944.857	9148.224	9099.509	11463.578
64	14230.721	5162.342	5555.209	23721.996	5195.452	3618.022	1682.343	3601.442	9898.734	13107.755	11531.933	14690.829	10984.764	15997.444	3876.182	8789.152	10011.509	9616.828	9524.979	11523.548
65	14058.703	5313.884	5699.975	24070.453	5201.056	3748.544	1694.881	3611.371	9796.021	12709.519	11700.873	15077.07	11137.178	16367.121	3826.047	8806.893	9952.435	9661.61	9671.016	11549.118
66	13937.436	5440.335	5836.62	23901.281	5303.644	3937.149	1699.717	3651.204	9958.615	12657.653	11999.735	15267.544	11102.679	16189.158	3749.981	8680.427	9759.979	9504.969	9683.356	11257.865
67	13735.71	5514.059	5948.087	23945.035	5327.587	4074.406	1685.6	3656.727	9814.212	12253.43	12038.945	15743.822	11439.971	16395.584	3744.159	8888.247	10278.311	9708.809	10161.916	11392.767
68	13467.987	5524.09	5942.984	23732.09	5353.858	4161.042	1693.547	3630.131	9849.502	12163.422	12190.108	16009.527	11781.759	16039.928	3687.085	8948.48	10502.468	9596.558	10253.609	11171.579
69	13268.254	5542.754	5895.942	23745.861	5312.378	4201.465	1677.578	3573.44	9768.884	11990.089	12213.054	16230.132	12058.296	15898.218	3574.48	8882.913	10772.605	9466.484	10172.912	11027.132
70	12997.542	5466.479	5898.462	24511.67	5357.742	4220.11	1669.076	3504.944	9510.553	11493.712	12023.729	16211.274	12343.881	15862.542	3598.445	9051.747	11352.746	9538.784	10279.204	11204.159
71	12944.531	5466.023	5919.763	24889.09	5334.942	4207.063	1677.025	3450.606	9276.132	11164.698	12041.183	16094.271	12323.026	15292.471	3539.021	9057.458	11778.41	9566.685	10099.337	11280.104
72	13293.565	5482.799	5925.184	25277.803	5359.584	4180.235	1681.562	3386.554	9303.308	10950.96	12050.213	16017.092	12266.982	14887.499	3380.929	8726.135	11926.519	9453.431	9846.62	11419.333
73	13585.904	5704.307	6131.213	26210.936	5381.328	4223.828	1759.108	3385.357	9111.075	10573.167	12226.994	16126.678	12296.604	14964.545	3423.096	8926.177	12427.687	9674.152	9509.155	11561.031
74	14009.793	5887.735	6246.206	26641.803	5397.522	4268.265	1798.626	3357.047	8864.308	10107.761	12260.687	16003.312	12239.116	14966.389	3349.98	8750.484	12492.868	9888.917	9571.524	12084.007
