TIME	20190410_W06	20190410_W07	20190410_W08	20190410_W09	20190410_W10	20190417_W06	20190417_W07	20190417_W09	20190417_W10	20190417_W11	20190429_W06	20190429_W07	20190429_W09	20190429_W10
87	3542.366	1668.849	4041.316	4327.413	3615.641	3107.84	2323.415	1356.28	3165.703	771.644	1022.844	739.251	3254.766	1442.577
88	3624.973	1724.276	4097.638	4376.274	3730.34	3159.779	2309.383	1362.68	3211.031	763.648	1051.48	748.504	3321.983	1466.693
89	3651.152	1729.205	4134.956	4407.713	3752.167	3192.825	2314.041	1353.785	3213.606	746.247	1078.632	764.286	3326.078	1452.512
90	3659.614	1742.428	4106.757	4416.588	3748.66	3269.45	2290.818	1323.319	3222.618	736.38	1084.336	755.703	3266.977	1434.834
91	3705.272	1739.222	4073.344	4377.59	3732.132	3348.273	2247.31	1302.405	3231.704	730.896	1085.656	767.373	3254.345	1399.873
92	3701.031	1719.676	4041.514	4379.631	3742.632	3349.795	2220.206	1295.229	3244.565	727.715	1074.487	756.992	3181.16	1355.812
93	3664.548	1700.894	3997.054	4351.792	3706.653	3393.046	2207.578	1272.573	3268.838	755.166	1060.148	745.825	3160.954	1366.539
94	3669.578	1703.182	3993.833	4369.305	3717.658	3403.821	2195.094	1257.344	3287.132	769.666	1051.964	755.648	3148.422	1340.253
95	3649.183	1699.881	4041.475	4471.486	3776.952	3490.768	2221.36	1245.072	3296.568	794.099	1026.547	773.677	3175.562	1365.693
96	3624.12	1692.782	4104.163	4513.031	3869.816	3536.155	2229.949	1219.885	3311.968	785.189	1023.767	793.015	3217.845	1394.73
97	3625.53	1702.706	4198.415	4587.759	3996.316	3602.465	2257.551	1201.392	3326.12	805.603	1006.005	798.448	3276.42	1444.492
98	3644.356	1710.608	4296.945	4663.19	4090.875	3628.165	2254.377	1197.504	3350.034	816.969	1015.975	817.456	3331.322	1503.532
99	3638.169	1733.289	4357.765	4734.732	4179.498	3706.461	2300.786	1174.035	3365.378	814.43	1034.956	846.276	3419.349	1545.102
100	3599.734	1730.363	4413.274	4760.295	4250.985	3775.095	2272.211	1152.833	3382.22	806.561	1062.563	871.501	3448.804	1565.266
101	3565.796	1728.219	4401.674	4737.659	4241.498	3787.523	2308.651	1143.839	3376.027	793.194	1076.019	886.209	3507.852	1570.402
102	3537.373	1719.807	4390.016	4691.792	4215.989	3783.128	2265.571	1120.177	3346.39	781.243	1092.835	897.145	3485.384	1552.538
103	3460.517	1694.35	4343.566	4648.134	4158.886	3809.489	2227.79	1082.706	3302.58	763.486	1105.857	899.523	3483.672	1529.211
104	3395.617	1672.462	4292.444	4600.648	4077.497	3774.516	2177.13	1056.456	3281.893	752.847	1102.485	895.836	3434.03	1499.261
105	3312.914	1634.48	4247.094	4544.889	4020.582	3772.417	2159.281	1039.489	3244.21	765.095	1101.42	906.48	3404.253	1490.998
106	3249.515	1608.847	4237.693	4535.972	3943.874	3782.312	2153.845	1025.617	3217.303	776.315	1107.808	919.907	3424.535	1477.612
107	3192.741	1592.762	4255.081	4599.955	3921.117	3793.138	2160.363	1003.862	3201.088	781.109	1092.232	932.232	3423.879	1485.794
108	3134.643	1570.37	4276.929	4605.875	3941.153	3810.219	2218.667	977.68	3185.04	783.442	1098.76	960.326	3463.49	1526.162
109	3107.358	1552.714	4378.686	4641.276	3993.449	3837.242	2208.849	967.183	3172.688	803.729	1083.184	965.104	3521.863	1571.216
110	3085.75	1537.875	4445.133	4713.201	4040.458	3910.414	2289.191	947.788	3178.338	805.648	1083.597	986.89	3583.133	1649.292
111	2972.582	1519.898	4468.345	4669.078	4104.72	3881.674	2325.04	944.182	3163.977	812.95	1093.378	1013.63	3617.562	1682.268
112	2983.834	1506.735	4480.981	4623.681	4063.429	3875.285	2354.86	926.739	3146.687	814.424	1098.572	1025.259	3612.139	1697.18
113	2897.822	1490.231	4434.726	4588.935	4029.204	3884.812	2376.067	909.567	3094.49	807.067	1117.745	1039.485	3585.418	1699.841
114	2824.95	1463.555	4378.312	4503.604	3954.206	3872.484	2337.687	889.468	3039.841	802.498	1097.505	1053.752	3534.734	1688.204
115	2784.051	1427.888	4276.78	4396.443	3863.238	3795.449	2374.308	872.6	2986.285	787.482	1100.358	1047.369	3476.745	1649.283
116	2693.14	1390.115	4185.852	4292.045	3749.894	3718.779	2336.784	853.57	2919.252	781.356	1097.651	1042.533	3408.886	1627.804
117	2551.783	1360.292	4088.345	4184.15	3667.695	3669.705	2296.09	843.764	2856.642	803.153	1101.518	1045.881	3370.728	1571.753
118	2535.725	1350.859	4018.638	4108.977	3560.654	3581.096	2321.394	834.533	2791.941	799.37	1098.286	1037.23	3313.895	1583.016
119	2418.051	1334.791	3941.635	4064.183	3510.971	3576.883	2349.041	814.697	2742.875	807.082	1104.063	1028.727	3287.538	1576.776
120	2387.477	1316.917	3916.105	4018.6	3449.203	3528.381	2362.613	799.154	2687.096	810.492	1095.609	1024.721	3298.826	1591.294
121	2318.196	1285.756	3886.587	3986.042	3410.039	3484.612	2378.397	788.263	2650.959	819.024	1109.991	1022.41	3312.518	1642.92
122	2235.241	1278.934	3884.874	3954.045	3375.444	3453.359	2426.637	792.121	2621.548	829.195	1104.917	1023.802	3278.911	1678.998
123	2188.872	1259.955	3875.136	3889.775	3340.637	3414.298	2466.803	792.614	2564.391	834.378	1116.506	1029.798	3268.844	1709.443
124	2137.533	1239.903	3856.014	3848.642	3322.521	3358.708	2515.017	788.732	2517.568	827.584	1130.874	1026.208	3231.191	1720.144
125	2074.3	1228.901	3796.967	3766.37	3252.127	3210.383	2466.001	787.082	2470.622	820.139	1131.324	1026.579	3198.51	1733.099
126	2034.271	1206.761	3728.497	3693.424	3182.333	3213.801	2458.455	772.996	2440.568	810.341	1131.314	1013.088	3147.878	1713.31
127	1985.086	1180.732	3664.99	3583.21	3118.337	3118.604	2385.578	765.086	2382.583	786.504	1118.694	1010.768	3074.048	1710.751
128	1930.186	1157.167	3571.037	3507.989	3064.025	3047.967	2464.552	749.719	2317.586	775.97	1127.731	997.714	3021.503	1670.088
129	1881.464	1143.425	3505.774	3431.638	3008.289	2935.722	2389.225	753.529	2271.012	785.567	1111.874	992.987	2997.427	1671.164
130	1851.9	1132.043	3411.468	3369.599	2954.861	2895.793	2425.281	749.549	2226.985	779.58	1124.036	988.128	2975.594	1687.116
131	1812.518	1114.279	3384.005	3335.337	2916.099	2818.873	2379.484	747.984	2189.06	780.692	1096.554	976.953	2956.694	1675.997
132	1775.175	1097.536	3350.007	3289.077	2841.558	2774.157	2433.69	732.314	2145.453	771.402	1110.624	959.302	2947.951	1681.325
