TIME	20180127_LSM780_W02	20180127_LSM780_W04	20180127_LSM780_W05	20180127_LSM780_W06	20180127_LSM780_W07	20180203_NLO_W02	20180203_NLO_W04	20180203_NLO_W05	20180324_W02	20180324_W03	20180324_W04	20180329_W02	20180329_W03	20180329_W04	20180329_W05	20180329_W07	20180402_W02	20180402_W03	20180402_W04	20180402_W05	20180402_W06	20180402_W07	20180403_W02	20180403_W05	20180403_W06	20180413_W02	20180413_W03	20180413_W04	20180414_NLO_W02	20180414_NLO_W03
70	13302.506	12242.958	9756.607	5768.4	9242.954	7945.599	7294.882	2278.549	3089.197	5134.387	1251.757	6817.073	4450.752	7274.986	5790.77	5132.949	9274.7	5407.906	11245.819	3122.825	1669.096	4025.7	10966.584	5556.248	7499.412	2648.347	11819.352	11919.103	8750.456	3615.003
71	13110.143	11936.65	9338.832	5681.848	9206.868	8042.858	7396.062	2325.814	3102.666	5089.064	1257.677	6841.278	4491.437	7147.892	5803.035	5188.808	9377.382	5346.966	11434.049	3182.311	1639.102	4176.361	11456.417	5841.065	7412.225	2780.88	11817.177	11981.29	8885.367	3738.417
72	12951.551	11823.848	9184.621	5680.68	9398.411	7886.693	7283.96	2384.186	3027.282	5010.077	1274.338	6785.431	4591.202	6978.9	5897.45	5358.646	9882.683	5511.558	11987.823	3345.434	1647.388	4406.692	11655.239	6243.992	7250.671	2880.712	11708.693	11979.499	8769.398	3821.26
73	12687.135	11571.497	8752.326	5607.334	9265.401	7747.437	7300.957	2429.943	3047.916	5051.218	1323.063	6718.578	4660.897	6919.587	5974.081	5458.521	9949.279	5515.354	11846.892	3275.731	1652.868	4415.285	11787.121	6514.469	7039.861	2964.114	11914.505	12098.462	8477.822	3802.467
74	12504.928	11463.038	8532.101	5660.582	9275.735	7682.469	7173.485	2451.382	3079.329	5053.795	1343.572	6597.579	4729.382	6945.301	6110.408	5501.992	10433.024	5770.442	12090.349	3348.978	1708.853	4580.01	11674.231	6763.02	6854.388	2983.331	12106.182	12217.192	8485.576	3889.779
75	12250.304	11262.962	8221.619	5692.417	9081.373	7575.688	7181.887	2494.951	3219.114	5202.954	1386.536	6446.776	4721.457	7067.514	6336.24	5589.279	10650.977	5854.399	11844.354	3284.881	1749.922	4454.352	11491.324	6990.992	6762.654	2995.169	12457.749	12463.422	8408.72	3936.044
76	11920.884	11185.941	7999.041	5810.472	9018.087	7435.975	7138.285	2513.417	3288.073	5202.952	1385.94	6260.522	4731.405	7220.101	6461.023	5627.554	10824.771	6050.629	11811.262	3285.329	1863.261	4492.927	11147.161	7111.415	6677.254	2951.825	12849.714	12677.171	8647.016	4126.76
77	11885.927	11217.778	7811.192	5925.272	8939.818	7313.801	6857.913	2478.377	3425.747	5327.423	1401.791	6182.005	4733.091	7474.82	6727.818	5632.875	11011.595	6131.826	11836.192	3322.51	1966.304	4559.397	10765.091	7118.97	6677.335	2915.21	13326.283	12926.086	8810.083	4210.817
78	11434.995	10815.997	7467.533	5955.477	8760.258	7208.399	6850.899	2510.012	3590.183	5458.25	1417.323	6197.738	4691.067	7792.234	7032.113	5637.881	10729.626	5961.486	11520.798	3285.012	2029.899	4471.112	10437.534	7010.077	6848.724	2909.254	13625.117	13088.755	9023.182	4288.443
79	11378.144	10857.113	7377.608	6104.356	8755.923	7181.788	6755.044	2465.189	3711.584	5517.256	1401.487	6266.651	4651.726	8141.036	7189.803	5545.502	10817.756	5994.368	11722.764	3461.465	2183.298	4606.643	10226.25	6938.72	7032.001	2958.263	13836.164	13330.447	9451.137	4422.01
80	11069.277	10537.779	7030.546	5999.158	8589.509	7076.147	6579.265	2425.071	3885.057	5622.957	1397.644	6391.394	4618.062	8523.109	7354.648	5522.214	10454.134	5817.021	11549.678	3498.701	2209.239	4547.849	10199.856	6785.968	7330.45	3022.614	13950.023	13439.275	9582.515	4473.054
81	10999.654	10491.304	6872.989	6037.258	8642.521	7051.487	6548.604	2473.189	3898.715	5679.117	1397.947	6576.99	4562.321	8806.366	7434.035	5406.97	10448.451	5779.55	11812.178	3723.624	2305.578	4686.867	10512.988	6730.164	7672.425	3152.265	13948.36	13435.444	9859.331	4554.312
82	10980.161	10276.179	6614.787	5968.538	8585.216	6942.549	6511.701	2529.529	3957.298	5750.318	1412.499	6788.059	4505.153	8974.562	7454.366	5333.904	10397.855	5701.91	11920.562	3830.729	2279.347	4704.297	10914.822	6539.098	7976.93	3295.008	13854.066	13380.335	9888.965	4532.191
83	10872.816	10159.992	6443.957	5977.046	8670.972	6789.947	6410.381	2586.021	3982.222	5800.068	1424.188	7018.424	4461.849	8953.867	7509.556	5304.248	10243.071	5610.216	12098.842	3973.422	2272.372	4844.322	11531.093	6547.257	8170.88	3476.32	13700.168	13310.292	10217.805	4701.651
84	10932.625	10043.599	6286.455	5928.682	8663.01	6739.267	6346.837	2649.745	3913.721	5753.576	1437.046	7202.983	4425.42	9028.891	7499.604	5252.406	10452.883	5687.113	12516.879	4227.608	2330.468	4990.234	12128.021	6673.649	8316.759	3664.667	13607.496	13276.051	10047.369	4695.008
85	10718.135	9798.838	6048.164	5883.466	8609.659	6493.704	6267.021	2732.269	3908.425	5778.962	1473.962	7390.264	4424.959	8919.874	7395.788	5165.804	10161.849	5590.838	12502.732	4214.49	2301.547	5060.188	12736.377	6873.034	8417.688	3810.721	13413.852	13167.042	9929.935	4724.05
86	10748.558	9801.287	5964.144	5996.412	8652.946	6370.342	6213.835	2786.5	3849.559	5725.929	1486.605	7402.137	4405.186	8803.258	7283.282	5162.435	10430.726	5798.77	12838.093	4392.669	2379.885	5241.861	13177.935	7085.491	8351.67	3907.373	13370.821	13014.361	9719.121	4779.616
87	10442.113	9411.595	5717.663	5961.256	8497.665	6251.417	6181.644	2830.226	3887.036	5803.761	1523.114	7419.996	4369.957	8600.012	7183.221	5119.402	10341.779	5779.786	12467.52	4302.874	2297.662	5158.368	13405.38	7364.09	8169.005	3959.719	13341.849	12959.943	9752.715	4912.297
