TIME	20171005_DB_W05	20171005_DB_W06	20171005_DB_W07	20171005_DB_W08	20171005_DB_W09	20190530_W07	20190530_W08	20190530_W09	20190530_W10	20190530_W11	20190530_W12	20190531_W01	20190531_W02	20190531_W03	20190531_W04		
77	1759.62	4376.994	3357.711	2964.142	4931.658	1152.438	3459.692	2365.639	5302.019	3787.854	1408.352	7286.562	7041.67	7942.39	6710.815		
78	1708.159	4286.439	3289.492	2903.67	4779.962	1132.183	3390.983	2394.041	5067.503	3616.568	1374.84	7006.954	6852.362	7514.761	6510.815		
79	1672.408	4169.672	3239.241	2838.594	4685.813	1115.423	3320.676	2395.217	4888.15	3532.256	1367.149	6668.875	6635.158	7164.009	6303.677		
80	1631.43	4049.666	3179.384	2759.218	4638.124	1128.226	3216.376	2401.65	4667.487	3450.46	1378.526	6418.997	6430.504	7050.026	6111.204		
81	1574.553	3942.576	3173.667	2712.735	4620.691	1161.872	3200.312	2392.484	4512.158	3373.934	1454.162	6199.976	6297.646	7150.757	5903.37		
82	1548.43	3861.121	3169.719	2647.043	4621.246	1219.411	3180.286	2463.711	4381.43	3351.241	1542.254	6097.99	6241.593	7585.316	5772.741		
83	1502.728	3755.025	3212.132	2588.309	4728.866	1259.631	3205.873	2537.097	4296.107	3455.967	1655.439	6182.628	6266.681	8202.969	5651.092		
84	1461.604	3667.436	3252.708	2522.594	4821.598	1325.371	3266.126	2659.969	4298.468	3494.729	1767.052	6429.807	6456.896	8996.311	5604.382		
85	1429.255	3586.8	3307.66	2477.858	4899.173	1348.375	3298.831	2782.326	4346.138	3582.004	1868.29	6748.463	6647.702	9604.837	5590.075		
86	1419.606	3515.456	3390.948	2450.576	5002.994	1373.338	3423.286	2903.456	4421.607	3696.965	1952.338	7146.993	6876.571	10042.65	5634.319		
87	1406.867	3442.892	3411.543	2418.743	5020.38	1380.097	3564.977	3037.296	4474.896	3753.082	2007.694	7484.283	7074.548	10191.119	5702.974		
88	1391.686	3373.52	3417.861	2371.86	5034.487	1359.614	3661.62	3132.463	4531.839	3734.617	2016.579	7657.392	7205.796	10165.102	5767.475		
89	1377.757	3283.867	3380.16	2313.305	4942.472	1318.325	3635.612	3200.677	4526.254	3719.402	2007.516	7730.425	7228.454	9848.207	5784.343		
90	1351.744	3179.822	3328.12	2264.665	4838.963	1285.562	3646.503	3229.316	4482.028	3605.179	1963.996	7673.919	7144.104	9452.368	5772.749		
91	1339.029	3085.042	3279.661	2229.999	4728.849	1265.244	3572.067	3231.267	4372.824	3466.079	1921.013	7523.741	7085.327	9029.104	5690.979		
92	1318.466	2977.828	3188.766	2169.367	4588.717	1244.71	3527.382	3195.37	4257.935	3328.147	1886.165	7353.786	6907.781	8562.621	5557.266		
93	1282.26	2861.666	3128.855	2115.102	4465.422	1230.433	3416.33	3132.422	4088.905	3161.141	1844.266	7116.542	6718.798	8194.438	5472.478		
94	1255.137	2775.715	3068.903	2049.701	4385.534	1234.364	3323.207	3096.369	3965.842	3054.202	1823.221	6907.598	6522.073	7951.381	5337.39		
95	1217.11	2664.789	3027.599	2012.174	4333.17	1260.448	3191.4	3055.666	3811.528	2966.993	1836.836	6633.303	6334.065	7861.79	5209.309		
96	1212.179	2581.38	3019.57	1953.272	4308.743	1312.474	3090.847	3038.912	3686.097	2920.79	1857.784	6501.253	6259.513	8026.732	5143.556		
97	1193.224	2483.433	3046.609	1903.076	4328.162	1348.91	3055.77	3016.8	3606.988	2890.56	1901.234	6384.075	6208.18	8312.593	5053.19		
98	1171.318	2407.387	3085.043	1844.438	4341.111	1389.207	2966.658	3005.731	3525.749	2882.36	1935.997	6366.495	6218.769	8841.072	4961.281		
99	1153.66	2316.294	3097.476	1796.678	4353.496	1389.953	2953.622	2997.865	3467.899	2877.614	1996.024	6384.032	6226.942	9273.479	4860.031		
100	1139.076	2235.102	3111.179	1761.61	4330.583	1420.357	2948.5	3003.591	3424.294	2869.439	2014.376	6477.172	6266.851	9637.262	4836.271		
101	1142.982	2175.275	3118.745	1731.798	4291.736	1425.118	2918.598	2979.807	3382.273	2844.801	2042.608	6566.198	6283.275	9748.513	4795.085		
102	1145.132	2117.958	3100.466	1703.769	4203.042	1397.434	2876.377	2988.132	3341.525	2799.202	2043.221	6609.472	6284.528	9664.583	4773.245		
103	1143.905	2043.691	3051.379	1655.296	4095.83	1371.959	2820.57	2952.213	3285.458	2699.292	2020.89	6605.518	6229.207	9429.33	4730.269		
104	1134.383	1982.575	2982.214	1625.747	3978.66	1331.655	2722.264	2898.956	3232.283	2621.375	1976.221	6506.502	6129.445	9045.609	4679.346		
105	1125.322	1919.026	2914.501	1603.561	3822.483	1296.691	2688.191	2825.5	3151.803	2520.092	1926.637	6368.186	5990.51	8633.302	4598.646		
106	1114.396	1856.382	2831.661	1570.53	3678.699	1267.776	2611.65	2747.377	3085.511	2432.081	1880.156	6240.437	5871.232	8277.894	4546.797		
107	1093.592	1802.519	2748.342	1533.804	3555.514	1255.794	2506.656	2686.585	2995.799	2327.263	1840.805	6106.939	5707.191	7921.51	4453.237		
108	1077.143	1753.56	2682.458	1503.436	3451.182	1255.761	2432.082	2604.389	2890.296	2227.716	1782.922	5951	5531.202	7642.571	4369.116		
109	1063.613	1705.455	2634.495	1476.67	3374.393	1261.371	2348.284	2495.416	2810.229	2172.426	1747.468	5788.924	5313.892	7508.937	4276.568		
110	1072.213	1673.234	2605.709	1453.698	3316.988	1312.497	2313.681	2441.508	2727.498	2121.922	1720.652	5682.085	5199.627	7551.24	4252.922		
111	1055.926	1654.781	2602.342	1433.784	3268.811	1350.448	2259.844	2395.732	2676.531	2106.094	1716.753	5566.031	5111.086	7807.55	4165.086		
112	1049.472	1602.058	2604.474	1393.871	3215.856	1396.538	2233.219	2385.129	2596.737	2098.998	1679.63	5478.369	5046.482	8166.803	4088.259		
113	1037.438	1577.503	2612.199	1369.439	3165.582	1416.77	2214.605	2360.143	2537.743	2093.658	1655.815	5389.093	4950.682	8499.581	4000.244		
