TIME	20171005_DB_W02	20171005_DB_W03	20171005_DB_W04	20190530_W02	20190530_W03	20190530_W04	20190530_W05	20190531_W05	20190531_W06	20190531_W07
133	3772.753	1407.904	1143.253	2726.802	1594.021	1361.061	1229.771	6340.702	2606.23	5128.385
134	3733.882	1424.586	1135.407	2721.742	1565.301	1345.502	1203.571	6144.087	2587.785	5137.863
135	3690.335	1429.483	1132.78	2647.522	1533.572	1347.903	1191.92	5965.659	2572.301	5151.082
136	3634.956	1443.035	1144.759	2605.659	1517.838	1344.986	1189.56	5776.291	2557.705	5106.238
137	3575.581	1453.342	1140.799	2563.167	1493.429	1353.49	1168.092	5604.532	2573.44	5107.245
138	3510.797	1456.65	1158.026	2506.378	1486.972	1383.423	1167.956	5451.71	2600.576	5050.514
139	3489.402	1478.685	1179.618	2479.683	1471.579	1411.156	1150.661	5322.429	2624.677	4943.216
140	3406.777	1483.352	1185.5	2412.731	1466.534	1417.419	1132.463	5112.164	2617.097	4809.982
141	3344.308	1476.52	1175.282	2374.905	1445.965	1426.469	1113.317	4947.132	2596.992	4698.735
142	3284.614	1474.244	1174.267	2330.443	1427.389	1451.347	1109.573	4849.142	2625.039	4651.484
143	3248.925	1477.955	1178.97	2290.997	1423.153	1455.854	1106.296	4744.115	2647.593	4620.723
144	3220.06	1477.918	1175.972	2284.351	1417.727	1463.117	1099.543	4651.904	2648.565	4562.568
145	3190.724	1478.921	1181.556	2243.042	1398.509	1478.258	1106.443	4572.717	2664.316	4606.565
146	3151.036	1482.196	1166.878	2230.679	1380.8	1491.343	1092.128	4458.565	2655.364	4591.05
