TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
22	2795.733	2265.701	2437.269	2632.696	3472.151	4195.376	4880.117	5936.536	3234.756	2090.155	2470.708	3306.84	3724.697	1466.85	1545.35	2641.349	1973.54	1732.332	1170.905	4083.108	4178.557	1123.562	4592.403	4232.125	3555.803	4289.68	4610.897	758.637	1190.196	4449.483	5605.097	3197.385	5155.529	2943.128	6324.106	9388.419	3904.245	1300.862	1531.208
23	2797.495	2290.14	2546.738	2789.705	3458.485	4276.632	5160.701	6439.064	3205.413	2071.185	2519.34	3314.821	3991.975	1486.582	1652.099	2864.393	1977.434	1750.652	1220.537	4106.817	4630.116	1143.343	4636.181	4417.032	3803.317	4278.169	4650.328	782.818	1160.262	4826.192	5419.386	3132.459	5150.124	2873.595	6352.068	10026.271	4131.484	1246.197	1646.298
24	2777.824	2337.069	2665.116	3029.494	3403.125	4348.07	5486.189	7041.932	3265.135	2101.784	2496.326	3335.928	4217.981	1537.856	1786.631	3073.156	1984.706	1801.444	1289.15	3991.574	4839.56	1153.195	4533.786	4614.02	4058.528	4404.422	4676.749	793.283	1157.132	5236.612	5203.209	3105.774	5097.957	2806.507	6277.302	10508.281	4648.303	1260.828	1818.366
25	2729.757	2416.907	2750.837	3292.233	3346.97	4451.609	5855.82	7644.759	3217.801	2131.897	2487.518	3374.154	4342.191	1586.471	1917.761	3212.599	1994.546	1892.153	1385.498	4006.097	5160.353	1181.157	4551.815	4790.154	4223.131	4664.34	4727.446	812.178	1121.197	5566.435	5120.6	3177.142	5054.863	2794.782	6146.735	10557.915	5106.445	1282.358	1952.752
26	2686.322	2530.782	2805.373	3629.719	3407.809	4648.005	6267.511	8391.172	3226.212	2179.499	2444.512	3432.329	4428.63	1652.373	2062.761	3309.052	2021.492	2033.282	1444.381	3941.333	5055.638	1198.443	4404.96	4851.132	4314.053	5019.859	4782.143	824.905	1091.712	5817.358	5234.021	3373.624	5138.548	2875.81	6038.804	10634.653	5661.145	1326.107	2037.095
27	2645.238	2646.858	2832.155	3766.657	3384.841	4718.821	6408.875	8869.982	3291.031	2218.195	2425.054	3585.672	4379.499	1743.675	2153.642	3342.761	2060.71	2197.812	1479.743	4096.316	5110.216	1252.834	4478.888	5084.83	4303.234	5487.671	4820.548	824.396	1059.262	5968.151	5609.703	3659.208	5309.068	3035.969	5929.721	10494.824	6232.576	1408.701	2162.947
28	2640.859	2761.277	2846.598	3917.763	3473.345	4835.067	6548.896	9370.614	3371.486	2302.279	2389.6	3784.001	4330.648	1837.569	2200.001	3316.751	2114.074	2349.63	1494.644	4298.607	4927.557	1286.528	4520.789	5087.41	4220.806	5855.15	4858.945	817.909	1025.917	5989.224	6170.87	3934.205	5545.34	3260.149	5908.011	10325.918	6630.48	1489.465	2236.165
29	2636.954	2829.596	2806.62	3920.283	3561.637	4857.409	6438.048	9545.133	3383.984	2322.394	2395.488	3972.764	4207.058	1924.894	2195.661	3263.292	2161.079	2470.591	1471.031	4523.372	4834.208	1330.714	4675.896	5216.685	4139.575	6119.97	4872.842	809.761	999.272	5913.636	6757.5	4155.159	5764.408	3464.965	5938.123	9973.857	6896.246	1558.385	2316.102
30	2646.55	2886.658	2780.033	3886.646	3653.324	4859.782	6349.935	9631.64	3447.354	2353.333	2416.644	4194.63	4085.891	1988.568	2167.12	3221.348	2205.505	2550.243	1461.315	4790.261	4715.682	1385.002	4847.413	5325.074	3999.406	6233.657	4883.339	791.507	978.016	5744.809	7279.484	4322.507	6008.436	3654.733	6133.377	9532.465	6801.928	1570.242	2333.263
31	2682.345	2887.693	2745.237	3805.31	3743.392	4853.565	6178.429	9615.518	3491.135	2371.755	2457.58	4367.125	3933.008	2022.135	2089.578	3156.22	2253.226	2584.627	1390.68	4840.352	4503.369	1404.242	4994.687	5313.603	3862.021	6222.224	4836.878	782.729	980.759	5573.92	7575.74	4368.974	6155.38	3778.128	6394.995	9378.408	6808.03	1584.392	2359.458
