TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
44	4236	2844.505	4504.283	4926.448	7162.007	2362.666	10594.71	10407.546	2894.886	5112.336	3439.294	5880.552	5815.018	1890.912	7937.044	3603.896	8802.205	10200.944	5911.723	8353.146	7311.829	1388.677	5160.469	1129.509
45	4230.66	2853.347	4754.425	4976.666	7405.728	2343.271	10524.314	10418.357	2854.76	5195.865	3545.259	6311.841	5950.424	1861.012	7644.299	3536.276	9129.866	9900.343	5972.079	8331.041	7199.825	1387.527	5273.895	1154.475
46	4193.627	2847.506	4949.068	4887.44	7546.121	2317.539	10630.168	10314.178	2823.356	5323.753	3717.725	6882.219	6140.089	1834.379	7372.363	3521.06	9509.64	9657.373	6164.174	8242.752	7110.396	1385.84	5343.528	1155.241
47	4149.909	2863.065	5076.165	4954.768	7685.766	2344.4	11135.417	10054.087	2808.35	5469.051	3904.45	7360.8	6258.315	1835.157	7285.788	3511.531	9858.306	9526.532	6357.128	8114.267	7009.666	1376.917	5249.833	1165.579
48	4101.639	2838.208	5135.622	4758.689	7604.261	2348.697	11369.428	9757.296	2840.857	5609.722	4119.914	7703.127	6317.788	1816.596	7336.604	3425.119	9655.053	9607.796	6553.291	8234.456	6999.104	1401.857	5343.95	1194.454
49	4058.624	2834.229	5120.278	4742.292	7687.969	2446.24	11974.13	9395.209	2954.86	5750.722	4345.646	7817.989	6462.67	1851.698	7778.375	3460.41	9515.348	9918.304	6775.969	8334.123	7103.621	1388.904	5271.608	1195.318
50	4050.326	2826.449	5062.509	4716.672	7487.462	2513.097	12430.142	9179.241	3145.85	5942.816	4565.689	7954.257	6625.723	1897.112	8421.11	3503.377	9297.82	10380.442	7085.375	8571.566	7354.842	1427.075	5279.668	1224.822
51	4090.471	2844.868	4929.824	4736.422	7616.729	2640.479	13052.622	9178.661	3376.058	6026.088	4724.685	7721.621	6779.75	1936.541	9155.808	3654.815	9014.749	10891.699	7289.383	8906.521	7739.558	1488.513	5378.185	1275.549
52	4170.728	2860.471	4837.01	4816.604	7578.697	2749.875	13302.338	9464.878	3600.082	6132.071	4792.09	7421.638	7046.968	2034.818	9855.887	3880.868	8941.67	11415.838	7435.454	9219.346	8201.698	1493.256	5377.032	1294.089
53	4273.403	2920.589	4726.471	4821.214	7650.542	2860.567	13486.412	10051.121	3839.613	6228.81	4815.369	7296.125	7358.562	2117.932	10125.935	4017.203	8818.193	11807.557	7518.855	9499.418	8715.878	1566.887	5555.613	1366.573
54	4423.109	2988.436	4770.68	5112.028	7799.797	2929.297	13610.467	10719.337	3999.671	6332.361	4866.649	7032.291	7693.967	2174.151	10303.89	4202.33	8877.284	12056.593	7592.627	9761.684	9169.855	1578.735	5715.711	1402.867
55	4577.954	3043.504	4841.233	5351.603	7919.931	2928.338	13343.422	11431.927	4075.515	6401.199	4856.112	7012.344	7975.737	2183.923	10356.152	4449.192	9214.556	12185.887	7630.274	10058.503	9602.421	1629.46	5968.091	1451.385
56	4711.141	3115.864	4909.45	5430.157	8338.646	2988.149	13356.563	12073.635	4084.37	6507.774	4863.062	7178.734	8339.804	2214.23	9903.394	4496.004	9462.41	12125.338	7679.462	10325.965	9928.645	1676.073	6265.827	1519.102
57	4827.792	3169.834	5131.364	5523.987	8502.529	2926.341	13076.903	12674.688	4082.664	6677.335	4891.947	7465.867	8473.782	2224.335	9534.768	4557.57	9841.492	11929.422	7749.798	10541.41	10224.683	1660.019	6383.934	1507.965
