TIME	20170929_W07	20170929_W08	20170929_W09	20170929_W10	20170929_W11	20170929_W12	20190619_W06	20190619_W07	20190619_W08	20190619_W09	20190619_W10	20190702_W06	20190702_W07	20190702_W08	20190702_W09
86	2241.761	2097.795	3149.531	3481.76	4226.863	2804.105	1290.578	3124.154	3616.276	3094.16	2915.255	2698.907	2910.959	5676.67	3985.96
87	2179.263	2040.822	3031.896	3378.435	4030.873	2800.463	1252.912	2969.535	3461.968	3113.231	2819.427	2636.708	2805.556	5474.211	3812.26
88	2111.092	1989.427	2916.27	3299.086	3882.042	2841.939	1228.762	2882.768	3339.415	3163.308	2754.259	2556.994	2695.149	5268.447	3649.364
89	2047.671	1957.142	2798.89	3199.831	3762.767	2946.738	1228.888	2747.985	3259.677	3296.148	2725.422	2472.33	2562.746	5020.154	3465.754
90	1987.951	1962.226	2733.594	3161.219	3709.978	3119.692	1216.553	2645.149	3129.135	3389.455	2722.042	2400.511	2446.36	4815.431	3403.703
91	1948.097	1993.44	2688.59	3138.918	3692.121	3341.748	1241.27	2604.7	3075.794	3510.107	2710.126	2304.356	2334.281	4604.329	3328.786
92	1911.833	2062.526	2692.971	3158.666	3700.332	3577.952	1263.774	2528.268	3060.018	3635.638	2710.216	2257.871	2235.24	4493.625	3350.363
93	1886.048	2146.416	2753.755	3219.888	3756.287	3783.88	1284.753	2465.19	3018.702	3737.3	2686.95	2219.632	2162.481	4504.8	3408.576
94	1892.483	2277.674	2810.713	3278.604	3789.212	3959.749	1328.465	2423.459	3004.87	3745.556	2622.433	2244.536	2114.8	4533.279	3501.162
95	1881.719	2379.331	2886.661	3339.874	3790.818	4051.709	1349.949	2402.652	2994.082	3707.515	2617.174	2286.045	2080.661	4594.155	3613.255
96	1865.797	2449.742	2919.586	3346.977	3735.036	4041.125	1398.067	2351.911	2919.945	3636.649	2547.311	2364.038	2063.312	4711.633	3721.426
97	1817.074	2447.633	2919.966	3345.498	3646.556	3982.247	1385.897	2286.289	2867.442	3579.249	2448.068	2389.48	2021.777	4762.974	3850.986
98	1803.184	2463.451	2903.529	3331.205	3555.127	3899.513	1385.488	2205.385	2809.647	3511.493	2366.921	2434.267	1987.637	4853.945	3880.805
99	1775.489	2443.067	2890.494	3277.343	3429.635	3753.927	1382.092	2145.085	2720.401	3447.963	2299.764	2454.868	1928.24	4849.542	3870.602
100	1746.894	2399.715	2846.237	3222.728	3304.372	3621.517	1331.46	2061.819	2653.193	3352.721	2205.547	2458.62	1861.342	4833.061	3761.054
101	1720.061	2354.695	2759.269	3164.664	3165.049	3512.948	1302.514	1984.236	2549.791	3279.852	2155.806	2433.538	1786.143	4654.202	3679.714
102	1694.139	2298.238	2690.251	3099.529	3030.09	3400.142	1283.73	1906.566	2475.292	3220.18	2112.879	2360.835	1720.035	4476.185	3526.239
103	1676.967	2243.874	2581.67	3023.116	2911.988	3308.399	1253.618	1825.096	2380.287	3223.748	2102.691	2293.963	1655.306	4266.154	3358.491
104	1651.509	2192.321	2473.824	2946.783	2803.063	3291.705	1210.664	1740.561	2308.997	3242.552	2095.089	2213.12	1576.138	4066.156	3196.327
105	1619.394	2164.047	2396.028	2887.13	2713.563	3352.195	1204.251	1673.338	2277.917	3350.367	2101.867	2112.278	1503.561	3833.712	3057.738
106	1601.958	2154.361	2306.349	2846.174	2689.411	3478.963	1181.994	1628.005	2263.901	3487.184	2120.997	2039.292	1447.564	3638.039	2939.225
107	1588.068	2176.582	2253.619	2839.152	2678.759	3685.635	1187.193	1577.198	2228.328	3561.798	2125.402	1949.454	1379.515	3468.963	2824.873
108	1580.448	2240.337	2200.339	2845.426	2713.08	3917.848	1187.697	1560.935	2212.436	3698.28	2135.833	1906.322	1344.682	3332.571	2758.845
109	1589.786	2324.187	2206.753	2868.87	2791.801	4181.435	1196.922	1516.98	2177.146	3810.399	2140.599	1871.408	1332.411	3214.624	2715.184
110	1607.596	2444.432	2194.364	2899.098	2850.712	4412.621	1191.032	1494.287	2165.739	3766.859	2130.269	1861.035	1344.024	3206.301	2698.141
111	1624.901	2537.134	2214.292	2936.35	2889.739	4584.76	1220.713	1454.83	2164.305	3757.115	2118.726	1889.56	1344.394	3188.353	2699.234
112	1631.782	2607.919	2184.557	2915.239	2863.68	4673.94	1223.356	1438.333	2144.789	3705.725	2063.922	1913.878	1360.837	3193.188	2703.248
113	1614.607	2635.512	2188.151	2926.648	2837.122	4711.194	1215.672	1398.892	2113.215	3667.716	2021.389	1942.108	1369.686	3213.964	2705.59
114	1607.294	2671.858	2164.344	2917.705	2793.885	4686.904	1212.5	1376.157	2078.228	3569.53	1982.979	1970.27	1382.608	3203.511	2684.876
115	1604.303	2667.997	2119.597	2893.222	2729.062	4599.094	1217.308	1371.642	2047.875	3471.348	1972.799	1980.011	1355.078	3180.443	2642.955
116	1596.154	2639.357	2046.117	2838.951	2644.416	4479.571	1197.758	1359.927	1998.419	3361.587	1941.738	1954.906	1328.269	3101.605	2587.987
117	1591.319	2581.515	1988.273	2782.544	2578.265	4358.367	1179.166	1336.542	1946.209	3268.32	1910.14	1923.083	1284.945	3011.164	2496.714
118	1572.406	2516.595	1925.418	2702.853	2466.052	4219.968	1152.219	1317.452	1917.393	3202.869	1872.795	1840.947	1244.869	2868.913	2408.038
119	1558.622	2431.257	1837.671	2644.655	2399.096	4125.037	1142.919	1313.989	1897.758	3184.957	1864.161	1774.721	1210.262	2729.917	2305.762
120	1547.98	2385.397	1775.903	2590.342	2320.463	4046.607	1128.219	1290.056	1869.593	3252.644	1862.955	1694.162	1169.709	2590.091	2216.421
121	1549.752	2310.928	1715.417	2549.805	2265.041	4029.279	1123.533	1298.582	1840.247	3266.333	1867.77	1616.348	1132.822	2461.79	2146.845
122	1533.442	2272.72	1646.937	2517.09	2214.711	4037.059	1104.73	1289.756	1820.189	3403.526	1905.492	1554.054	1103.669	2353.033	2091.98
123	1539.91	2258.804	1609.736	2512.835	2191.122	4113.625	1092.418	1283.778	1827.477	3510.851	1919.75	1499.284	1098.085	2276.837	2066.667
124	1542.125	2273.282	1553.314	2511.458	2189.216	4249.547	1092.047	1285.975	1797.975	3552.593	1940.225	1464.125	1095.675	2255.87	2062.092
125	1553.522	2313.579	1528.865	2540.422	2237.516	4424.157	1089.078	1283.632	1818.23	3674.927	1962.226	1482.8	1119.215	2202.125	2081.322
126	1594.962	2417.832	1507.998	2581.699	2291.797	4601.207	1084.372	1305.289	1815.04	3617.092	1980.035	1509.662	1155.465	2239.27	2102.105
127	1619.336	2482.692	1483.275	2591.473	2328.443	4733.21	1110.859	1295.456	1801.784	3575.766	1977.77	1552.044	1200.156	2304.881	2127.366
128	1632.331	2567.039	1424.89	2576.261	2334.752	4803.778	1110.507	1292.427	1783.625	3531.015	1941.867	1611.6	1215.148	2362.777	2132.488
129	1618.609	2600.433	1390.688	2573.071	2353.471	4850.147	1087.619	1283.611	1765.765	3453.263	1940.848	1648.671	1239.765	2402.885	2155.214
130	1628.548	2643.358	1363.094	2561.311	2356.324	4832.822	1082.35	1268.605	1745.682	3352.132	1896.067	1689.17	1255.413	2397.819	2150.674
