TIME	20190410_W01	20190410_W02	20190410_W04	20190410_W05	20190417_W01	20190417_W02	20190417_W03	20190417_W04	20190417_W05	20190429_W01	20190429_W02	20190429_W03	20190429_W04	20190429_W05
103	9495.532	3298.288	1015.76	2349.017	1980.668	2929.759	5853.345	5753.274	3362.649	2406.765	1166.528	6732.535	1505.831	8935.754
104	9355.82	3181.343	1018.048	2304.233	2041.282	2873.407	5643.377	5712.487	3314.098	2451.787	1175.318	6862.647	1508.065	8788.099
105	9173.636	3074.271	1016.341	2312.19	2090.665	2875.605	5460.738	5730.94	3355.655	2425.656	1210.89	6910.057	1496.192	8769.215
106	9027.772	2957.711	1030.043	2316.997	2118.957	2894.421	5355.562	5642.405	3404.771	2394.807	1296.005	6924.982	1551.276	8864.043
107	8934.385	2880.807	1046.588	2395.522	2136.198	2913.695	5219.994	5612.065	3391.598	2364.404	1365.393	6925.326	1573.424	8973.697
108	8789.617	2777.46	1053.089	2465.073	2072.874	2870.105	5036.515	5526.63	3385.357	2296.929	1457.921	6911.731	1624.678	9050.928
109	8664.177	2696.5	1060.229	2530.426	2071.07	2819.241	4872.137	5455.837	3336.664	2245.893	1493.128	6913.899	1667.117	9141.448
110	8598.524	2625.606	1082.537	2597.045	2027.146	2733.41	4726.889	5392.554	3280.57	2232.482	1535.527	6737.825	1720.192	9259.64
111	8477.011	2556.514	1110.237	2665.894	2007.936	2661.772	4594.213	5267.532	3231.675	2278.244	1562.01	6780.24	1739.85	9258.683
112	8360.702	2451.252	1144.283	2684.041	1981.67	2612.741	4486.476	5149.588	3235.693	2375.566	1525.439	6774.833	1749.198	9221.371
113	8228.814	2385.354	1181.621	2717.25	2010.946	2536.405	4348.467	5158.466	3200.631	2466.508	1500.388	6644.583	1748.726	9191.981
114	8096.749	2334.139	1199.551	2696.059	2050.285	2441.438	4212.943	5063.069	3134.569	2564.805	1451.305	6618.74	1719.892	9077.428
115	7923.474	2264.756	1210.499	2676.817	2077.647	2350.859	4091.704	4957.205	3084.839	2631.671	1412.771	6554.78	1687.754	8919.452
116	7759.894	2183.57	1216.042	2589.759	2160.025	2313.961	3939.949	4960.574	3060.294	2685.86	1375.285	6594.386	1661.371	8754.183
117	7575.724	2096.091	1212.44	2572.628	2234.719	2264.736	3789.503	4880.211	2968.592	2741.75	1363.83	6609.002	1668.602	8649.09
118	7373.073	2030.985	1218.703	2568.729	2280.23	2232.899	3661.26	4804.754	2946.827	2720.594	1398.746	6653.88	1677.063	8525.336
119	7147.204	1984.75	1222.238	2568.732	2334.286	2187.769	3543.216	4711.903	2953.357	2649.237	1435.281	6688.006	1688.026	8422.158
120	6938.984	1932.246	1222.433	2590.658	2378.665	2112.893	3421.365	4597.655	2924.275	2570.378	1506.893	6633.198	1727.931	8382.602
121	6747.29	1880.744	1197.874	2576.043	2390.013	2004.436	3262.336	4490.388	2858.47	2508.526	1594.136	6565.845	1733.096	8345.303
122	6555.921	1832.028	1199.213	2575.469	2379.68	1962.875	3172.66	4415.884	2786.697	2479.189	1670.241	6586.036	1745.037	8326.865
123	6408.647	1799.443	1213.784	2602.892	2356.415	1910.444	3089.137	4274.294	2742.399	2455.316	1750.27	6588.404	1765.758	8387.228
124	6206.29	1754.46	1230.272	2644.63	2319.312	1872.692	2988.164	4222.391	2674.804	2488.503	1772.845	6572.114	1819.951	8348.369
125	6057.954	1729.2	1245.568	2631.931	2300.767	1837.481	2913.454	4134.037	2655.77	2571.835	1796.118	6507.633	1847.742	8364.361
126	5935.569	1683.853	1253.667	2622.256	2271.255	1783.405	2846.002	4049.85	2605.445	2685.383	1769.86	6511.763	1833.688	8312.467
127	5794.005	1656.88	1285.045	2634.734	2311.552	1747.84	2739.079	3936.336	2539.27	2759.431	1720.028	6355.176	1865.672	8174.071
128	5626.301	1654.439	1296.462	2564.404	2316.702	1714.068	2664.994	3888.051	2482.792	2808.271	1689.03	6346.073	1843.71	8097.575
129	5502.409	1617.44	1293.242	2564.411	2315.421	1680.564	2568.68	3792.941	2442.698	2870.731	1641.991	6266.855	1856.556	7981.781
130	5371.616	1619.296	1297.209	2552.74	2354.37	1679.331	2519.864	3750.193	2478.024	2913.958	1609.316	6184.7	1847.581	7957.103
131	5258.012	1596.601	1288.809	2563.149	2397.651	1658.973	2457.704	3691.587	2445.431	2868.432	1591.763	6166.257	1856.997	7902.88
132	5234.976	1586.837	1279.431	2554.222	2431.591	1633.355	2366.255	3631.259	2410.654	2832.889	1622.274	6097.753	1852.923	7804.156
